E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2.000,4.000,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003602,"CP(EA |#eta|+E), cluster",0.003603,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003887,"CP(EA |#eta|+E), cluster",0.003893,0.000006
4.000,6.000,"CP(EA |#eta|+E), cluster",0.003236,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003238,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003528,"CP(EA |#eta|+E), cluster",0.003530,0.000002
6.000,8.000,"CP(EA |#eta|+E), cluster",0.003077,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003079,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003350,"CP(EA |#eta|+E), cluster",0.003351,0.000001
8.000,10.000,"CP(EA |#eta|+E), cluster",0.003185,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003187,0.000002,"CP(EA |#eta|+E), cluster",0.003279,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003280,0.000000
10.000,12.000,"CP(EA |#eta|+E), cluster",0.003347,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003349,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003203,"CP(EA |#eta|+E), cluster",0.003204,0.000001
12.000,15.000,"CP(EA |#eta|+E), cluster",0.003506,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003507,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003155,"CP(EA |#eta|+E), cluster",0.003156,0.000001
15.000,20.000,"CP(EA |#eta|+E), cluster",0.003430,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003433,0.000003,"CP(EA |#eta|+E), cluster",0.003090,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003091,0.000001
20.000,30.000,"CP(EA |#eta|+E), cluster",0.002942,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.002945,0.000003,"CP(EA |#eta|+E), cluster",0.002905,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.002905,0.000000
