KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
eta,PDCraw,,2,6,8,55814,-5.47651e-06,0.00396833,XAXIS,h_eta_diff_raw_6_8
phi,PDCcor,,2,6,8,55814,5.18043e-06,0.00306805,XAXIS,h_phi_diff_corr_6_8
eta,PDCcor,,2,6,8,55814,-1.24532e-05,0.00328266,XAXIS,h_eta_diff_corr_6_8
phi,CLUSRAW,,2,6,8,55814,-7.39209e-05,0.00404689,NAME,h_phi_diff_cpRaw_6_8
phi,CLUSCP,,2,6,8,55814,8.48438e-06,0.00313479,NAME,h_phi_diff_cpCorr_6_8
phi,CLUSCP_EA_vzDep,,2,6,8,55814,4.33306e-06,0.00307202,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_6_8
phi,CLUSCP_EA_etaDep,,2,6,8,55814,3.78034e-06,0.00306835,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8
phi,CLUSCP_EA,,2,6,8,55814,4.49771e-06,0.00307198,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8
phi,CLUSCP_EA_EandIncident,,2,6,8,55814,-2.47353e-06,0.0030699,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_6_8
phi,CLUSCP_EA_vzEtaDep,,2,6,8,55814,3.61964e-06,0.00306906,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_6_8
phi,CLUScpDirectBvals,,2,6,8,55814,7.86871e-06,0.00320485,NAME,h_phi_diff_cpBcorr_6_8
eta,CLUSRAW,,2,6,8,55814,-1.26627e-05,0.00400454,NAME,h_eta_diff_cpRaw_6_8
eta,CLUSCP,,2,6,8,55814,-3.34844e-05,0.00349373,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_vzDep,,2,6,8,55814,-2.84784e-05,0.00335251,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,55814,-2.731e-05,0.00333847,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
eta,CLUSCP_EA,,2,6,8,55814,-2.84273e-05,0.00335226,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8
eta,CLUSCP_EA_EandIncident,,2,6,8,55814,-1.72031e-06,0.00336996,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_6_8
eta,CLUSCP_EA_vzEtaDep,,2,6,8,55814,-2.71232e-05,0.0033437,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_6_8
eta,CLUScpDirectBvals,,2,6,8,55814,-2.56976e-05,0.0033169,NAME,h_eta_diff_cpBcorr_6_8
phi,PDCraw,,3,8,10,58295,-7.15556e-05,0.00404295,XAXIS,h_phi_diff_raw_8_10
eta,PDCraw,,3,8,10,58295,-2.28171e-05,0.00393122,XAXIS,h_eta_diff_raw_8_10
phi,PDCcor,,3,8,10,58295,-2.25223e-05,0.00318594,XAXIS,h_phi_diff_corr_8_10
eta,PDCcor,,3,8,10,58295,-3.84411e-05,0.00319003,XAXIS,h_eta_diff_corr_8_10
phi,CLUSRAW,,3,8,10,58295,-0.00010845,0.00413141,NAME,h_phi_diff_cpRaw_8_10
phi,CLUSCP,,3,8,10,58295,-1.17776e-05,0.00322224,NAME,h_phi_diff_cpCorr_8_10
phi,CLUSCP_EA_vzDep,,3,8,10,58295,-1.87768e-05,0.00317457,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_8_10
phi,CLUSCP_EA_etaDep,,3,8,10,58295,-1.85095e-05,0.0031709,NAME,h_phi_diff_cpCorrEA_fitEtaDep_8_10
phi,CLUSCP_EA,,3,8,10,58295,-1.83215e-05,0.00317466,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_8_10
phi,CLUSCP_EA_EandIncident,,3,8,10,58295,-2.34847e-05,0.00317418,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_8_10
phi,CLUSCP_EA_vzEtaDep,,3,8,10,58295,-1.91067e-05,0.00317127,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_8_10
phi,CLUScpDirectBvals,,3,8,10,58295,-2.26427e-05,0.00329318,NAME,h_phi_diff_cpBcorr_8_10
eta,CLUSRAW,,3,8,10,58295,-2.7647e-05,0.00399073,NAME,h_eta_diff_cpRaw_8_10
eta,CLUSCP,,3,8,10,58295,-5.83877e-05,0.00340254,NAME,h_eta_diff_cpCorr_8_10
eta,CLUSCP_EA_vzDep,,3,8,10,58295,-5.02284e-05,0.00328075,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_8_10
eta,CLUSCP_EA_etaDep,,3,8,10,58295,-4.76742e-05,0.00326783,NAME,h_eta_diff_cpCorrEA_fitEtaDep_8_10
eta,CLUSCP_EA,,3,8,10,58295,-5.02229e-05,0.0032806,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_8_10
eta,CLUSCP_EA_EandIncident,,3,8,10,58295,-1.95454e-05,0.00331602,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_8_10
eta,CLUSCP_EA_vzEtaDep,,3,8,10,58295,-4.78383e-05,0.00327365,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_8_10
eta,CLUScpDirectBvals,,3,8,10,58295,-5.09336e-05,0.00324455,NAME,h_eta_diff_cpBcorr_8_10
phi,PDCraw,,4,10,12,59003,-4.41653e-05,0.00415641,XAXIS,h_phi_diff_raw_10_12
eta,PDCraw,,4,10,12,59003,-4.22851e-05,0.00388337,XAXIS,h_eta_diff_raw_10_12
phi,PDCcor,,4,10,12,59003,-1.48173e-05,0.00334752,XAXIS,h_phi_diff_corr_10_12
eta,PDCcor,,4,10,12,59003,-3.03762e-05,0.00310294,XAXIS,h_eta_diff_corr_10_12
phi,CLUSRAW,,4,10,12,59003,-7.36223e-05,0.00424782,NAME,h_phi_diff_cpRaw_10_12
