variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to10,8,3,25,0.183334,0.000468198,-0.00692267,0.000468198,-14.7858,-0.01594,-0.0146779,0.0200377,0.836886,0.00190945,7.10169
z10to20,8,3,25,0.184411,0.000464305,-0.00756581,0.000464305,-16.2949,-0.0174209,-0.0160415,0.0209918,0.866509,0.00190116,6.81759
z20to30,8,3,25,0.181605,0.000471868,-0.00708874,0.000471868,-15.0227,-0.0163224,-0.01503,0.0191931,0.892371,0.00156787,4.53658
z30to45,8,3,25,0.179955,0.000386338,-0.00741015,0.000386338,-19.1805,-0.0170625,-0.0157115,0.0173254,0.971959,0.000803167,1.76893
z45to60,8,3,25,0.178515,0.000390076,-0.0079259,0.000390076,-20.3189,-0.0182501,-0.016805,0.0193697,0.947046,0.00118964,3.8475
