variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.192906,0.00125188,-0.00436917,0.00125188,-3.49009,-0.0100604,-0.0092638,0.0142358,0.622992,0.00217694,1.22854
z02to04,8,3,25,0.193596,0.00122522,-0.00617965,0.00122522,-5.04372,-0.0142292,-0.0131025,0.0164269,0.854255,0.00161883,0.723366
z04to06,8,3,25,0.191042,0.00124021,-0.00263343,0.00124021,-2.12337,-0.00606369,-0.00558356,0.010802,0.35728,0.00230848,1.35181
z06to08,8,3,25,0.194106,0.00123822,-0.00439508,0.00123822,-3.54951,-0.01012,-0.00931872,0.00982291,0.796684,0.00146563,0.535885
z08to10,8,3,25,0.199925,0.00132471,-0.00691303,0.00132471,-5.21851,-0.0159178,-0.0146574,0.0134687,0.875907,0.00165693,0.643028
