KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,271246,-0.00170551,0.0042978,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,271246,-8.50495e-06,0.0063237,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,271246,-0.00123974,0.00372508,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,271246,-1.46808e-05,0.00581724,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,271246,-0.00163363,0.0043955,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,271246,-0.000952016,0.00386618,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_vzDep,,0,2,4,271246,-0.00106755,0.00374162,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,271246,-0.00107114,0.00373946,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,271246,-0.00106747,0.00374213,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_EandIncident,,0,2,4,271246,-0.0011465,0.00373422,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
phi,CLUSCP_EA_vzEtaDep,,0,2,4,271246,-0.00107168,0.00373825,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,271246,-0.0011375,0.00384358,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,271246,2.4337e-05,0.00624321,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,271246,2.55748e-05,0.00583661,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_vzDep,,0,2,4,271246,2.0622e-05,0.00583195,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,271246,2.45256e-05,0.00577528,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
eta,CLUSCP_EA,,0,2,4,271246,2.46391e-05,0.00577328,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_2_4
eta,CLUSCP_EA_EandIncident,,0,2,4,271246,5.55162e-05,0.00586214,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
eta,CLUSCP_EA_vzEtaDep,,0,2,4,271246,2.01054e-05,0.00585452,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_2_4
eta,CLUScpDirectBvals,,0,2,4,271246,2.69371e-05,0.00576495,NAME,h_eta_diff_cpBcorr_2_4
phi,PDCraw,,1,4,6,277771,-0.00124964,0.00412064,XAXIS,h_phi_diff_raw_4_6
eta,PDCraw,,1,4,6,277772,-1.81978e-05,0.00563755,XAXIS,h_eta_diff_raw_4_6
phi,PDCcor,,1,4,6,277772,-0.000739673,0.00332869,XAXIS,h_phi_diff_corr_4_6
eta,PDCcor,,1,4,6,277772,-1.74004e-05,0.00501773,XAXIS,h_eta_diff_corr_4_6
phi,CLUSRAW,,1,4,6,277772,-0.00116298,0.00424107,NAME,h_phi_diff_cpRaw_4_6
phi,CLUSCP,,1,4,6,277772,-0.000470724,0.00343064,NAME,h_phi_diff_cpCorr_4_6
phi,CLUSCP_EA_vzDep,,1,4,6,277772,-0.000569907,0.003352,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_4_6
phi,CLUSCP_EA_etaDep,,1,4,6,277772,-0.000572747,0.00335153,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6
phi,CLUSCP_EA,,1,4,6,277772,-0.000570064,0.00335287,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6
phi,CLUSCP_EA_EandIncident,,1,4,6,277772,-0.000650297,0.00334831,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
phi,CLUSCP_EA_vzEtaDep,,1,4,6,277772,-0.000573856,0.00334979,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_4_6
phi,CLUScpDirectBvals,,1,4,6,277772,-0.000621089,0.00348183,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,277772,1.85354e-05,0.00556835,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,277772,3.14175e-05,0.00503393,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_vzDep,,1,4,6,277772,2.11085e-05,0.00504654,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,277772,2.56563e-05,0.00499693,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,277772,2.60365e-05,0.00499374,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_EandIncident,,1,4,6,277772,5.8803e-05,0.00511589,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
eta,CLUSCP_EA_vzEtaDep,,1,4,6,277772,2.03922e-05,0.00507563,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,277772,2.77187e-05,0.00497933,NAME,h_eta_diff_cpBcorr_4_6
phi,PDCraw,,2,6,8,293835,-0.00100101,0.00407155,XAXIS,h_phi_diff_raw_6_8
eta,PDCraw,,2,6,8,293835,-1.00504e-05,0.00529245,XAXIS,h_eta_diff_raw_6_8
phi,PDCcor,,2,6,8,293835,-0.000474659,0.00318689,XAXIS,h_phi_diff_corr_6_8
eta,PDCcor,,2,6,8,293835,-8.10373e-06,0.00462141,XAXIS,h_eta_diff_corr_6_8
phi,CLUSRAW,,2,6,8,293835,-0.000911962,0.00419173,NAME,h_phi_diff_cpRaw_6_8
phi,CLUSCP,,2,6,8,293835,-0.000203731,0.00326609,NAME,h_phi_diff_cpCorr_6_8
phi,CLUSCP_EA_vzDep,,2,6,8,293835,-0.000301621,0.00321326,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_6_8
phi,CLUSCP_EA_etaDep,,2,6,8,293835,-0.000304191,0.003213,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8
phi,CLUSCP_EA,,2,6,8,293835,-0.000302035,0.00321405,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8
phi,CLUSCP_EA_EandIncident,,2,6,8,293835,-0.000384122,0.00321206,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_6_8
phi,CLUSCP_EA_vzEtaDep,,2,6,8,293835,-0.000305531,0.00321129,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_6_8
phi,CLUScpDirectBvals,,2,6,8,293835,-0.000353164,0.00334999,NAME,h_phi_diff_cpBcorr_6_8
eta,CLUSRAW,,2,6,8,293835,2.08697e-05,0.0052367,NAME,h_eta_diff_cpRaw_6_8
eta,CLUSCP,,2,6,8,293835,3.56908e-05,0.00464375,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_vzDep,,2,6,8,293835,2.78128e-05,0.00466006,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,293835,3.03691e-05,0.00461984,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
