E_lo,E_hi,CLUSCP_delta_pct,CLUSCP_delta_pct_err,CLUSCP_EA_delta_pct,CLUSCP_EA_delta_pct_err,CLUSCP_EA_vzDep_delta_pct,CLUSCP_EA_vzDep_delta_pct_err,CLUSCP_EA_etaDep_delta_pct,CLUSCP_EA_etaDep_delta_pct_err,CLUSCP_EA_vzEtaDep_delta_pct,CLUSCP_EA_vzEtaDep_delta_pct_err,CLUSCP_EA_EandIncident_delta_pct,CLUSCP_EA_EandIncident_delta_pct_err
2,4,12.042,0.169,14.864,0.163,14.876,0.163,14.925,0.163,14.953,0.163,15.044,0.163
4,6,19.109,0.153,20.943,0.150,20.963,0.150,20.975,0.150,21.015,0.150,21.050,0.150
6,8,22.082,0.144,23.324,0.141,23.343,0.141,23.349,0.141,23.390,0.141,23.371,0.141
8,10,21.233,0.143,22.201,0.141,22.219,0.141,22.228,0.141,22.267,0.141,22.239,0.141
10,12,19.762,0.145,20.490,0.144,20.505,0.144,20.514,0.144,20.542,0.144,20.518,0.144
12,15,19.372,0.120,19.841,0.119,19.861,0.119,19.866,0.119,19.891,0.119,19.865,0.119
15,20,21.378,0.091,21.680,0.090,21.701,0.090,21.709,0.090,21.725,0.090,21.694,0.090
20,30,26.393,0.060,26.867,0.060,26.891,0.060,26.912,0.060,26.940,0.060,26.915,0.060
