E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2.000,4.000,"no corr, cluster",0.006839,"no corr, scratch",0.006861,0.000022,"b(E) corr, scratch",0.015169,"CorrectPosition, cluster",0.015181,0.000012
4.000,6.000,"no corr, scratch",0.007153,"no corr, cluster",0.007168,0.000015,"b(E) corr, scratch",0.011752,"CorrectPosition, cluster",0.011809,0.000057
6.000,8.000,"b(E) corr, scratch",0.006414,"CorrectPosition, cluster",0.006456,0.000041,"b(E) corr, scratch",0.008998,"b(E) corr, cluster",0.009122,0.000124
8.000,10.000,"b(E) corr, scratch",0.005321,"CP(|vz| + E), cluster",0.005399,0.000078,"b(E) corr, scratch",0.007089,"b(E) corr, cluster",0.007228,0.000140
10.000,12.000,"b(E) corr, scratch",0.004648,"CP(EA |#eta|+E), cluster",0.004742,0.000094,"b(E) corr, scratch",0.005862,"CP(|vz| + E), cluster",0.005991,0.000129
12.000,15.000,"b(E) corr, scratch",0.004279,"CP(EA |#eta|+E), cluster",0.004394,0.000115,"b(E) corr, scratch",0.004966,"CP(|vz| + E), cluster",0.005056,0.000090
15.000,20.000,"b(E) corr, scratch",0.003898,"CP(EA |#eta|+E), cluster",0.004007,0.000109,"b(E) corr, scratch",0.004212,"CP(|vz| + E), cluster",0.004284,0.000072
20.000,30.000,"b(E) corr, scratch",0.003308,"CP(EA |#eta|+E), cluster",0.003383,0.000076,"b(E) corr, scratch",0.003575,"CP(|vz| + E), cluster",0.003664,0.000088
