view,variant,Elo,Ehi,entries
etaCore,No Correction,20,30,0
etaCore,Legacy Constant b-corr,2,4,0
etaCore,Legacy Constant b-corr,4,6,0
etaCore,Legacy Constant b-corr,6,8,0
etaCore,Legacy Constant b-corr,8,10,0
etaCore,Legacy Constant b-corr,10,12,0
etaCore,Legacy Constant b-corr,12,15,0
etaCore,Legacy Constant b-corr,15,20,0
etaCore,Legacy Constant b-corr,20,30,0
etaCore,CLUS-CP(EA),2,4,0
etaCore,CLUS-CP(EA),4,6,0
etaCore,CLUS-CP(EA),6,8,0
etaCore,CLUS-CP(EA),8,10,0
etaCore,CLUS-CP(EA),10,12,0
etaCore,CLUS-CP(EA),12,15,0
etaCore,CLUS-CP(EA),15,20,0
etaCore,CLUS-CP(EA),20,30,0
etaCore,Energy/|#eta|-Dep b-correction,2,4,0
etaCore,Energy/|#eta|-Dep b-correction,4,6,0
etaCore,Energy/|#eta|-Dep b-correction,6,8,0
etaCore,Energy/|#eta|-Dep b-correction,8,10,0
etaCore,Energy/|#eta|-Dep b-correction,10,12,0
etaCore,Energy/|#eta|-Dep b-correction,12,15,0
etaCore,Energy/|#eta|-Dep b-correction,15,20,0
etaCore,Energy/|#eta|-Dep b-correction,20,30,0
etaCore,Energy-Dep b-correction,2,4,0
etaCore,Energy-Dep b-correction,4,6,0
etaCore,Energy-Dep b-correction,6,8,0
etaCore,Energy-Dep b-correction,8,10,0
etaCore,Energy-Dep b-correction,10,12,0
etaCore,Energy-Dep b-correction,12,15,0
etaCore,Energy-Dep b-correction,15,20,0
etaCore,Energy-Dep b-correction,20,30,0
etaCore,EA-mix,2,4,0
etaCore,EA-mix,4,6,0
etaCore,EA-mix,6,8,0
etaCore,EA-mix,8,10,0
etaCore,EA-mix,10,12,0
etaCore,EA-mix,12,15,0
etaCore,EA-mix,15,20,0
etaCore,EA-mix,20,30,0
etaCore,PDC-raw,2,4,0
etaCore,PDC-raw,4,6,0
etaCore,PDC-raw,6,8,0
etaCore,PDC-raw,8,10,0
etaCore,PDC-raw,10,12,0
etaCore,PDC-raw,12,15,0
etaCore,PDC-raw,15,20,0
etaCore,PDC-raw,20,30,0
etaCore,PDC-corr,2,4,0
etaCore,PDC-corr,4,6,0
etaCore,PDC-corr,6,8,0
etaCore,PDC-corr,8,10,0
etaCore,PDC-corr,10,12,0
etaCore,PDC-corr,12,15,0
etaCore,PDC-corr,15,20,0
etaCore,PDC-corr,20,30,0
etaMid,No Correction,2,4,0
etaMid,No Correction,4,6,0
etaMid,No Correction,6,8,0
etaMid,No Correction,8,10,0
etaMid,No Correction,10,12,0
etaMid,No Correction,12,15,0
etaMid,No Correction,15,20,0
etaMid,No Correction,20,30,0
etaMid,Legacy Constant b-corr,2,4,0
etaMid,Legacy Constant b-corr,4,6,0
etaMid,Legacy Constant b-corr,6,8,0
etaMid,Legacy Constant b-corr,8,10,0
etaMid,Legacy Constant b-corr,10,12,0
etaMid,Legacy Constant b-corr,12,15,0
etaMid,Legacy Constant b-corr,15,20,0
etaMid,Legacy Constant b-corr,20,30,0
etaMid,CLUS-CP(EA),2,4,0
etaMid,CLUS-CP(EA),4,6,0
etaMid,CLUS-CP(EA),6,8,0
etaMid,CLUS-CP(EA),8,10,0
etaMid,CLUS-CP(EA),10,12,0
etaMid,CLUS-CP(EA),12,15,0
etaMid,CLUS-CP(EA),15,20,0
etaMid,CLUS-CP(EA),20,30,0
etaMid,Energy/|#eta|-Dep b-correction,2,4,0
etaMid,Energy/|#eta|-Dep b-correction,4,6,0
etaMid,Energy/|#eta|-Dep b-correction,6,8,0
etaMid,Energy/|#eta|-Dep b-correction,8,10,0
etaMid,Energy/|#eta|-Dep b-correction,10,12,0
etaMid,Energy/|#eta|-Dep b-correction,12,15,0
etaMid,Energy/|#eta|-Dep b-correction,15,20,0
etaMid,Energy/|#eta|-Dep b-correction,20,30,0
etaMid,Energy-Dep b-correction,2,4,0
etaMid,Energy-Dep b-correction,4,6,0
etaMid,Energy-Dep b-correction,6,8,0
etaMid,Energy-Dep b-correction,8,10,0
etaMid,Energy-Dep b-correction,10,12,0
etaMid,Energy-Dep b-correction,12,15,0
etaMid,Energy-Dep b-correction,15,20,0
etaMid,Energy-Dep b-correction,20,30,0
etaMid,EA-mix,2,4,0
etaMid,EA-mix,4,6,0
etaMid,EA-mix,6,8,0
etaMid,EA-mix,8,10,0
etaMid,EA-mix,10,12,0
etaMid,EA-mix,12,15,0
etaMid,EA-mix,15,20,0
etaMid,EA-mix,20,30,0
etaMid,PDC-raw,2,4,0
etaMid,PDC-raw,4,6,0
etaMid,PDC-raw,6,8,0
etaMid,PDC-raw,8,10,0
etaMid,PDC-raw,10,12,0
etaMid,PDC-raw,12,15,0
etaMid,PDC-raw,15,20,0
etaMid,PDC-raw,20,30,0
etaMid,PDC-corr,2,4,0
etaMid,PDC-corr,4,6,0
etaMid,PDC-corr,6,8,0
etaMid,PDC-corr,8,10,0
etaMid,PDC-corr,10,12,0
etaMid,PDC-corr,12,15,0
etaMid,PDC-corr,15,20,0
etaMid,PDC-corr,20,30,0
etaEdge,No Correction,2,4,0
etaEdge,No Correction,4,6,0
etaEdge,No Correction,6,8,0
etaEdge,No Correction,8,10,0
etaEdge,No Correction,10,12,0
etaEdge,No Correction,12,15,0
etaEdge,No Correction,15,20,0
etaEdge,No Correction,20,30,0
etaEdge,Legacy Constant b-corr,2,4,0
etaEdge,Legacy Constant b-corr,4,6,0
etaEdge,Legacy Constant b-corr,6,8,0
etaEdge,Legacy Constant b-corr,8,10,0
etaEdge,Legacy Constant b-corr,10,12,0
etaEdge,Legacy Constant b-corr,12,15,0
etaEdge,Legacy Constant b-corr,15,20,0
etaEdge,Legacy Constant b-corr,20,30,0
etaEdge,CLUS-CP(EA),2,4,0
etaEdge,CLUS-CP(EA),4,6,0
etaEdge,CLUS-CP(EA),6,8,0
etaEdge,CLUS-CP(EA),8,10,0
etaEdge,CLUS-CP(EA),10,12,0
etaEdge,CLUS-CP(EA),12,15,0
etaEdge,CLUS-CP(EA),15,20,0
etaEdge,CLUS-CP(EA),20,30,0
