KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
eta,CLUSCP,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
eta,CLUSCP_EA,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8
eta,CLUSCP_EA_EandIncident,,2,6,8,55782,-1.71397e-05,0.00381895,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_6_8
eta,CLUSCP_EA_vzEtaDep,,2,6,8,55782,-3.30188e-05,0.00349381,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_6_8
eta,CLUScpDirectBvals,,2,6,8,55782,-2.55021e-05,0.0033173,NAME,h_eta_diff_cpBcorr_6_8
phi,PDCraw,,3,8,10,58343,-0.000971752,0.00405171,XAXIS,h_phi_diff_raw_8_10
eta,PDCraw,,3,8,10,58343,-2.32517e-05,0.00393138,XAXIS,h_eta_diff_raw_8_10
phi,PDCcor,,3,8,10,58343,-0.000461074,0.00318819,XAXIS,h_phi_diff_corr_8_10
eta,PDCcor,,3,8,10,58343,-3.89013e-05,0.00318977,XAXIS,h_eta_diff_corr_8_10
phi,CLUSRAW,,3,8,10,58343,-0.000899647,0.00414167,NAME,h_phi_diff_cpRaw_8_10
phi,CLUSCP,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorr_8_10
phi,CLUSCP_EA_etaDep,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorrEA_fitEtaDep_8_10
phi,CLUSCP_EA,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_8_10
phi,CLUSCP_EA_EandIncident,,3,8,10,58343,-0.000755407,0.00381322,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_8_10
phi,CLUSCP_EA_vzEtaDep,,3,8,10,58343,-0.000209987,0.00322268,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_8_10
phi,CLUScpDirectBvals,,3,8,10,58343,-0.000358711,0.00329418,NAME,h_phi_diff_cpBcorr_8_10
eta,CLUSRAW,,3,8,10,58343,-2.77626e-05,0.00399033,NAME,h_eta_diff_cpRaw_8_10
eta,CLUSCP,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorr_8_10
eta,CLUSCP_EA_etaDep,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorrEA_fitEtaDep_8_10
eta,CLUSCP_EA,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_8_10
eta,CLUSCP_EA_EandIncident,,3,8,10,58343,-3.195e-05,0.00379673,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_8_10
eta,CLUSCP_EA_vzEtaDep,,3,8,10,58343,-5.86288e-05,0.00340188,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_8_10
eta,CLUScpDirectBvals,,3,8,10,58343,-5.10145e-05,0.00324405,NAME,h_eta_diff_cpBcorr_8_10
phi,PDCraw,,4,10,12,59028,-0.000763188,0.00416456,XAXIS,h_phi_diff_raw_10_12
eta,PDCraw,,4,10,12,59028,-4.27215e-05,0.00388351,XAXIS,h_eta_diff_raw_10_12
phi,PDCcor,,4,10,12,59028,-0.00026227,0.00335099,XAXIS,h_phi_diff_corr_10_12
eta,PDCcor,,4,10,12,59028,-3.08364e-05,0.00310383,XAXIS,h_eta_diff_corr_10_12
phi,CLUSRAW,,4,10,12,59028,-0.000682021,0.00425678,NAME,h_phi_diff_cpRaw_10_12
phi,CLUSCP,,4,10,12,59028,-2.50153e-05,0.00337242,NAME,h_phi_diff_cpCorr_10_12
phi,CLUSCP_EA_etaDep,,4,10,12,59028,-2.50154e-05,0.00337242,NAME,h_phi_diff_cpCorrEA_fitEtaDep_10_12
phi,CLUSCP_EA,,4,10,12,59028,-2.50154e-05,0.00337242,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_10_12
phi,CLUSCP_EA_EandIncident,,4,10,12,59028,-0.000551429,0.00394501,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_10_12
phi,CLUSCP_EA_vzEtaDep,,4,10,12,59028,-2.50154e-05,0.00337242,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_10_12
phi,CLUScpDirectBvals,,4,10,12,59028,-0.000163932,0.00346559,NAME,h_phi_diff_cpBcorr_10_12
eta,CLUSRAW,,4,10,12,59028,-4.4549e-05,0.00394969,NAME,h_eta_diff_cpRaw_10_12
eta,CLUSCP,,4,10,12,59028,-3.79001e-05,0.0033177,NAME,h_eta_diff_cpCorr_10_12
eta,CLUSCP_EA_etaDep,,4,10,12,59028,-3.79001e-05,0.0033177,NAME,h_eta_diff_cpCorrEA_fitEtaDep_10_12
eta,CLUSCP_EA,,4,10,12,59028,-3.79001e-05,0.0033177,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_10_12
eta,CLUSCP_EA_EandIncident,,4,10,12,59028,-4.33304e-05,0.0037513,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_10_12
eta,CLUSCP_EA_vzEtaDep,,4,10,12,59028,-3.79001e-05,0.0033177,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_10_12
eta,CLUScpDirectBvals,,4,10,12,59028,-3.94788e-05,0.00316976,NAME,h_eta_diff_cpBcorr_10_12
phi,PDCraw,,5,12,15,88546,-0.00055187,0.00424564,XAXIS,h_phi_diff_raw_12_15
eta,PDCraw,,5,12,15,88546,3.61988e-06,0.00386157,XAXIS,h_eta_diff_raw_12_15
phi,PDCcor,,5,12,15,88546,-4.76538e-05,0.00348409,XAXIS,h_phi_diff_corr_12_15
eta,PDCcor,,5,12,15,88546,-9.2629e-06,0.00305461,XAXIS,h_eta_diff_corr_12_15
phi,CLUSRAW,,5,12,15,88546,-0.000483958,0.00435272,NAME,h_phi_diff_cpRaw_12_15
phi,CLUSCP,,5,12,15,88546,0.000179921,0.00352284,NAME,h_phi_diff_cpCorr_12_15
phi,CLUSCP_EA_etaDep,,5,12,15,88546,0.000179921,0.00352284,NAME,h_phi_diff_cpCorrEA_fitEtaDep_12_15
phi,CLUSCP_EA,,5,12,15,88546,0.000179921,0.00352284,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_12_15
phi,CLUSCP_EA_EandIncident,,5,12,15,88546,-0.000340553,0.00405561,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_12_15
phi,CLUSCP_EA_vzEtaDep,,5,12,15,88546,0.000179921,0.00352284,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_12_15
phi,CLUScpDirectBvals,,5,12,15,88546,5.66116e-05,0.00360891,NAME,h_phi_diff_cpBcorr_12_15
eta,CLUSRAW,,5,12,15,88546,-1.23564e-06,0.00392227,NAME,h_eta_diff_cpRaw_12_15
eta,CLUSCP,,5,12,15,88546,-3.20147e-05,0.00326704,NAME,h_eta_diff_cpCorr_12_15
eta,CLUSCP_EA_etaDep,,5,12,15,88546,-3.20147e-05,0.00326704,NAME,h_eta_diff_cpCorrEA_fitEtaDep_12_15
eta,CLUSCP_EA,,5,12,15,88546,-3.20147e-05,0.00326704,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_12_15
eta,CLUSCP_EA_EandIncident,,5,12,15,88546,-3.75832e-06,0.00372156,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_12_15
eta,CLUSCP_EA_vzEtaDep,,5,12,15,88546,-3.20147e-05,0.00326704,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_12_15
eta,CLUScpDirectBvals,,5,12,15,88546,-2.22491e-05,0.00311988,NAME,h_eta_diff_cpBcorr_12_15
phi,PDCraw,,6,15,20,148162,-0.000309792,0.00422128,XAXIS,h_phi_diff_raw_15_20
eta,PDCraw,,6,15,20,148162,-5.14376e-06,0.0038052,XAXIS,h_eta_diff_raw_15_20
phi,PDCcor,,6,15,20,148162,0.000183338,0.00339806,XAXIS,h_phi_diff_corr_15_20
eta,PDCcor,,6,15,20,148162,-2.83689e-06,0.00298189,XAXIS,h_eta_diff_corr_15_20
phi,CLUSRAW,,6,15,20,148162,-0.000225891,0.00434177,NAME,h_phi_diff_cpRaw_15_20
phi,CLUSCP,,6,15,20,148162,0.000403728,0.00343286,NAME,h_phi_diff_cpCorr_15_20
phi,CLUSCP_EA_etaDep,,6,15,20,148162,0.000403728,0.00343286,NAME,h_phi_diff_cpCorrEA_fitEtaDep_15_20
phi,CLUSCP_EA,,6,15,20,148162,0.000403728,0.00343286,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_15_20
phi,CLUSCP_EA_EandIncident,,6,15,20,148162,-9.09704e-05,0.00403035,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_15_20
phi,CLUSCP_EA_vzEtaDep,,6,15,20,148162,0.000403728,0.00343286,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_15_20
phi,CLUScpDirectBvals,,6,15,20,148162,0.000284126,0.00354277,NAME,h_phi_diff_cpBcorr_15_20
