KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,CLUScpDirectBvals,,1,4,6,51463,-0.000785114,0.00335384,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,51463,8.58076e-06,0.00409292,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,51463,-2.39436e-05,0.0036977,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_vzDep,,1,4,6,51463,-1.52966e-05,0.00352995,NAME,h_eta_diff_cpCorrEA_geom_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,51463,-1.49749e-05,0.00351715,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,51463,-1.50705e-05,0.00352942,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_mixed,,1,4,6,51463,-1.45979e-05,0.00351496,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,51463,-1.47779e-05,0.00349415,NAME,h_eta_diff_cpBcorr_4_6
phi,PDCraw,0_60vz,1,4,6,277771,-0.00124964,0.00412064,XAXIS,h_phi_diff_raw_4_6_0_60vz
phi,PDCcor,0_60vz,1,4,6,277772,-0.000743602,0.00332814,XAXIS,h_phi_diff_corr_4_6_0_60vz
phi,CLUSRAW,0_60vz,1,4,6,277772,-0.00116298,0.00424107,NAME,h_phi_diff_cpRaw_4_6_0_60vz
phi,CLUSCP,0_60vz,1,4,6,277772,-0.000470724,0.00343064,NAME,h_phi_diff_cpCorr_4_6_0_60vz
phi,CLUSCP_EA_vzDep,0_60vz,1,4,6,277772,-0.000569611,0.00335226,NAME,h_phi_diff_cpCorrEA_geom_4_6_0_60vz
phi,CLUSCP_EA_etaDep,0_60vz,1,4,6,277772,-0.000580087,0.00335287,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6_0_60vz
phi,CLUSCP_EA,0_60vz,1,4,6,277772,-0.000575839,0.00335501,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6_0_60vz
phi,CLUSCP_EA_mixed,0_60vz,1,4,6,277772,-0.000582021,0.00335339,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6_0_60vz
phi,CLUScpDirectBvals,0_60vz,1,4,6,277772,-0.000625395,0.00348155,NAME,h_phi_diff_cpBcorr_4_6_0_60vz
eta,PDCraw,0_60vz,1,4,6,277772,-1.81978e-05,0.00563755,XAXIS,h_eta_diff_raw_4_6_0_60vz
eta,PDCcor,0_60vz,1,4,6,277772,-1.69289e-05,0.00497911,XAXIS,h_eta_diff_corr_4_6_0_60vz
eta,CLUSRAW,0_60vz,1,4,6,277772,1.85354e-05,0.00556835,NAME,h_eta_diff_cpRaw_4_6_0_60vz
eta,CLUSCP,0_60vz,1,4,6,277772,3.14175e-05,0.00503393,NAME,h_eta_diff_cpCorr_4_6_0_60vz
eta,CLUSCP_EA_vzDep,0_60vz,1,4,6,277772,2.14822e-05,0.00503732,NAME,h_eta_diff_cpCorrEA_geom_4_6_0_60vz
eta,CLUSCP_EA_etaDep,0_60vz,1,4,6,277772,2.75136e-05,0.00496667,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6_0_60vz
