variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.182509,0.000680012,-0.0064915,0.000680012,-9.54615,-0.0149472,-0.0137637,0.0162171,0.862464,0.00168543,2.42203
z02to04,8,3,25,0.183297,0.000689866,-0.00758771,0.000689866,-10.9988,-0.0174714,-0.016088,0.0196237,0.929724,0.00132028,1.52404
z04to06,8,3,25,0.183299,0.000704628,-0.00701411,0.000704628,-9.95435,-0.0161506,-0.0148718,0.0221099,0.742622,0.00260103,5.72372
z06to08,8,3,25,0.179609,0.000670926,-0.00546637,0.000670926,-8.14749,-0.0125868,-0.0115901,0.0147831,0.809558,0.00172091,2.60262
z08to10,8,3,25,0.180117,0.000686519,-0.00568521,0.000686519,-8.28122,-0.0130907,-0.0120541,0.0186059,0.692161,0.00241989,5.08338
