KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,PDCraw,,0,2,4,271250,-0.000141467,0.00427061,XAXIS,h_phi_diff_raw_2_4
eta,PDCraw,,0,2,4,271250,-8.47075e-06,0.00632368,XAXIS,h_eta_diff_raw_2_4
phi,PDCcor,,0,2,4,271250,-0.000129891,0.00370567,XAXIS,h_phi_diff_corr_2_4
eta,PDCcor,,0,2,4,271250,-1.45964e-05,0.00581719,XAXIS,h_eta_diff_corr_2_4
phi,CLUSRAW,,0,2,4,271250,-0.000222267,0.00435744,NAME,h_phi_diff_cpRaw_2_4
phi,CLUSCP,,0,2,4,271250,-0.000136558,0.00385141,NAME,h_phi_diff_cpCorr_2_4
phi,CLUSCP_EA_vzDep,,0,2,4,271250,-0.00013157,0.00372641,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_2_4
phi,CLUSCP_EA_etaDep,,0,2,4,271250,-0.00013232,0.0037239,NAME,h_phi_diff_cpCorrEA_fitEtaDep_2_4
phi,CLUSCP_EA,,0,2,4,271250,-0.000132257,0.00372681,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_2_4
phi,CLUSCP_EA_EandIncident,,0,2,4,271250,-0.000135835,0.00371767,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
phi,CLUSCP_EA_vzEtaDep,,0,2,4,271250,-0.00013111,0.00372286,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_2_4
phi,CLUScpDirectBvals,,0,2,4,271250,-0.000171401,0.00382399,NAME,h_phi_diff_cpBcorr_2_4
eta,CLUSRAW,,0,2,4,271250,2.44179e-05,0.0062432,NAME,h_eta_diff_cpRaw_2_4
eta,CLUSCP,,0,2,4,271250,2.57347e-05,0.00583653,NAME,h_eta_diff_cpCorr_2_4
eta,CLUSCP_EA_vzDep,,0,2,4,271250,2.07457e-05,0.00583193,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_2_4
eta,CLUSCP_EA_etaDep,,0,2,4,271250,2.46585e-05,0.00577524,NAME,h_eta_diff_cpCorrEA_fitEtaDep_2_4
eta,CLUSCP_EA,,0,2,4,271250,2.47772e-05,0.00577324,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_2_4
eta,CLUSCP_EA_EandIncident,,0,2,4,271250,5.56169e-05,0.00586208,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_2_4
eta,CLUSCP_EA_vzEtaDep,,0,2,4,271250,2.02169e-05,0.00585449,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_2_4
eta,CLUScpDirectBvals,,0,2,4,271250,2.7075e-05,0.00576489,NAME,h_eta_diff_cpBcorr_2_4
phi,PDCraw,,1,4,6,277894,-3.89908e-05,0.00411549,XAXIS,h_phi_diff_raw_4_6
eta,PDCraw,,1,4,6,277895,-1.8437e-05,0.00563773,XAXIS,h_eta_diff_raw_4_6
phi,PDCcor,,1,4,6,277895,4.46261e-06,0.00332826,XAXIS,h_phi_diff_corr_4_6
eta,PDCcor,,1,4,6,277895,-1.77406e-05,0.00501791,XAXIS,h_eta_diff_corr_4_6
phi,CLUSRAW,,1,4,6,277895,-9.01871e-05,0.00422839,NAME,h_phi_diff_cpRaw_4_6
phi,CLUSCP,,1,4,6,277895,1.77654e-06,0.00343191,NAME,h_phi_diff_cpCorr_4_6
phi,CLUSCP_EA_vzDep,,1,4,6,277895,1.06135e-06,0.00335253,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_4_6
phi,CLUSCP_EA_etaDep,,1,4,6,277895,4.36455e-07,0.00335202,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6
phi,CLUSCP_EA,,1,4,6,277895,5.12616e-07,0.00335344,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6
phi,CLUSCP_EA_EandIncident,,1,4,6,277895,-2.99733e-06,0.0033484,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
phi,CLUSCP_EA_vzEtaDep,,1,4,6,277895,9.04054e-07,0.00335026,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_4_6
phi,CLUScpDirectBvals,,1,4,6,277895,-6.81706e-06,0.00348147,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,277895,1.84257e-05,0.00556867,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,277895,3.1149e-05,0.00503419,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_vzDep,,1,4,6,277895,2.0887e-05,0.00504685,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,277895,2.54596e-05,0.00499725,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,277895,2.58283e-05,0.00499405,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_EandIncident,,1,4,6,277895,5.86537e-05,0.00511626,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_4_6
eta,CLUSCP_EA_vzEtaDep,,1,4,6,277895,2.01858e-05,0.00507595,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,277895,2.7513e-05,0.00497965,NAME,h_eta_diff_cpBcorr_4_6
phi,PDCraw,,2,6,8,293727,-3.90579e-05,0.00406726,XAXIS,h_phi_diff_raw_6_8
eta,PDCraw,,2,6,8,293727,-8.83686e-06,0.00529149,XAXIS,h_eta_diff_raw_6_8
