E_lo,E_hi,CLUSCP_delta_pct,CLUSCP_delta_pct_err,CLUSCP_EA_delta_pct,CLUSCP_EA_delta_pct_err,CLUSCP_EA_vzDep_delta_pct,CLUSCP_EA_vzDep_delta_pct_err,CLUSCP_EA_etaDep_delta_pct,CLUSCP_EA_etaDep_delta_pct_err,CLUSCP_EA_vzEtaDep_delta_pct,CLUSCP_EA_vzEtaDep_delta_pct_err,CLUSCP_EA_EandIncident_delta_pct,CLUSCP_EA_EandIncident_delta_pct_err
2,4,11.613,0.170,14.472,0.164,14.482,0.164,14.539,0.164,14.563,0.164,14.682,0.164
4,6,18.837,0.154,20.692,0.150,20.714,0.150,20.726,0.150,20.767,0.150,20.811,0.150
6,8,21.861,0.144,23.121,0.142,23.141,0.142,23.147,0.142,23.189,0.142,23.177,0.142
8,10,21.080,0.144,22.059,0.142,22.078,0.142,22.086,0.142,22.126,0.142,22.104,0.142
10,12,19.693,0.146,20.417,0.144,20.431,0.144,20.440,0.144,20.468,0.144,20.443,0.144
12,15,19.416,0.120,19.859,0.119,19.879,0.119,19.884,0.119,19.910,0.119,19.865,0.119
15,20,21.549,0.091,21.816,0.090,21.839,0.090,21.846,0.090,21.864,0.090,21.790,0.090
20,30,26.538,0.060,26.987,0.060,27.011,0.060,27.032,0.060,27.058,0.060,27.002,0.060
