E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2,4,"Energy-only + incident-angle",0.003718,"Energy + |z_{vtx}|+|#eta|-dep b",0.003723,0.000005,"",nan,"",nan,nan
4,6,"Energy-only + incident-angle",0.003348,"Energy + |z_{vtx}|+|#eta|-dep b",0.003350,0.000002,"",nan,"",nan,nan
6,8,"Energy + |z_{vtx}|+|#eta|-dep b",0.003213,"Energy-only + incident-angle",0.003214,0.000001,"",nan,"",nan,nan
8,10,"Energy + |z_{vtx}|+|#eta|-dep b",0.003318,"Energy-only + incident-angle",0.003319,0.000001,"",nan,"",nan,nan
10,12,"Energy + |z_{vtx}|+|#eta|-dep b",0.003467,"Energy-only + incident-angle",0.003468,0.000001,"",nan,"",nan,nan
12,15,"Energy + |z_{vtx}|+|#eta|-dep b",0.003548,"Energy + |#eta|-dep b",0.003549,0.000001,"",nan,"",nan,nan
15,20,"Energy + |z_{vtx}|+|#eta|-dep b",0.003413,"Energy + |#eta|-dep b",0.003414,0.000001,"",nan,"",nan,nan
20,30,"Energy + |z_{vtx}|+|#eta|-dep b",0.002942,"Energy + |#eta|-dep b",0.002943,0.000001,"",nan,"",nan,nan
