E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2,4,"2x2 Block-Local With Corr",0.003706,"Energy-only + incident-angle",0.003718,0.000012,"",nan,"",nan,nan
4,6,"2x2 Block-Local With Corr",0.003328,"Energy-only + incident-angle",0.003348,0.000020,"",nan,"",nan,nan
6,8,"2x2 Block-Local With Corr",0.003188,"Energy + |z_{vtx}|+|#eta|-dep b",0.003213,0.000025,"",nan,"",nan,nan
8,10,"2x2 Block-Local With Corr",0.003300,"Energy + |z_{vtx}|+|#eta|-dep b",0.003318,0.000018,"",nan,"",nan,nan
10,12,"2x2 Block-Local With Corr",0.003454,"Energy + |z_{vtx}|+|#eta|-dep b",0.003467,0.000013,"",nan,"",nan,nan
12,15,"2x2 Block-Local With Corr",0.003522,"Energy + |z_{vtx}|+|#eta|-dep b",0.003548,0.000026,"",nan,"",nan,nan
15,20,"2x2 Block-Local With Corr",0.003383,"Energy + |z_{vtx}|+|#eta|-dep b",0.003413,0.000030,"",nan,"",nan,nan
20,30,"2x2 Block-Local With Corr",0.002938,"Energy + |z_{vtx}|+|#eta|-dep b",0.002942,0.000004,"",nan,"",nan,nan
