KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,CLUSRAW,,1,4,6,191142,0.000102339,0.00715955,NAME,h_phi_diff_cpRaw_4_6
phi,CLUSCP,,1,4,6,191142,0.000214807,0.00727029,NAME,h_phi_diff_cpCorr_4_6
phi,CLUSCP_EA_vzDep,,1,4,6,191142,0.000194356,0.00725919,NAME,h_phi_diff_cpCorrEA_geom_4_6
phi,CLUSCP_EA_etaDep,,1,4,6,191142,0.000190326,0.00725826,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6
phi,CLUSCP_EA,,1,4,6,191142,0.000194161,0.00725825,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6
phi,CLUSCP_EA_mixed,,1,4,6,191142,0.000191048,0.00725724,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6
phi,CLUScpDirectBvals,,1,4,6,191142,0.000187978,0.00726415,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,191142,4.5405e-05,0.0123326,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,191142,7.42313e-05,0.0118067,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_vzDep,,1,4,6,191142,6.05715e-05,0.0119188,NAME,h_eta_diff_cpCorrEA_geom_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,191142,6.716e-05,0.0118598,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,191142,6.78044e-05,0.0118511,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_mixed,,1,4,6,191142,6.67621e-05,0.0118632,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,191142,6.87042e-05,0.0118415,NAME,h_eta_diff_cpBcorr_4_6
phi,PDCraw,0_60vz,1,4,6,191142,0.000110055,0.00714551,XAXIS,h_phi_diff_raw_4_6_0_60vz
phi,PDCcor,0_60vz,1,4,6,191142,0.000193605,0.00725573,XAXIS,h_phi_diff_corr_4_6_0_60vz
phi,CLUSRAW,0_60vz,1,4,6,191142,0.000102339,0.00715955,NAME,h_phi_diff_cpRaw_4_6_0_60vz
phi,CLUSCP,0_60vz,1,4,6,191142,0.000214807,0.00727029,NAME,h_phi_diff_cpCorr_4_6_0_60vz
phi,CLUSCP_EA_vzDep,0_60vz,1,4,6,191142,0.000194356,0.00725919,NAME,h_phi_diff_cpCorrEA_geom_4_6_0_60vz
phi,CLUSCP_EA_etaDep,0_60vz,1,4,6,191142,0.000190326,0.00725826,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6_0_60vz
phi,CLUSCP_EA,0_60vz,1,4,6,191142,0.000194161,0.00725825,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6_0_60vz
phi,CLUSCP_EA_mixed,0_60vz,1,4,6,191142,0.000191048,0.00725724,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6_0_60vz
phi,CLUScpDirectBvals,0_60vz,1,4,6,191142,0.000187978,0.00726415,NAME,h_phi_diff_cpBcorr_4_6_0_60vz
eta,PDCraw,0_60vz,1,4,6,191142,9.5072e-06,0.01228,XAXIS,h_eta_diff_raw_4_6_0_60vz
eta,PDCcor,0_60vz,1,4,6,191142,1.45168e-05,0.011749,XAXIS,h_eta_diff_corr_4_6_0_60vz
eta,CLUSRAW,0_60vz,1,4,6,191142,4.5405e-05,0.0123326,NAME,h_eta_diff_cpRaw_4_6_0_60vz
eta,CLUSCP,0_60vz,1,4,6,191142,7.42313e-05,0.0118067,NAME,h_eta_diff_cpCorr_4_6_0_60vz
eta,CLUSCP_EA_vzDep,0_60vz,1,4,6,191142,6.05715e-05,0.0119188,NAME,h_eta_diff_cpCorrEA_geom_4_6_0_60vz
eta,CLUSCP_EA_etaDep,0_60vz,1,4,6,191142,6.716e-05,0.0118598,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6_0_60vz
eta,CLUSCP_EA,0_60vz,1,4,6,191142,6.78044e-05,0.0118511,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6_0_60vz
eta,CLUSCP_EA_mixed,0_60vz,1,4,6,191142,6.67621e-05,0.0118632,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6_0_60vz
eta,CLUScpDirectBvals,0_60vz,1,4,6,191142,6.87042e-05,0.0118415,NAME,h_eta_diff_cpBcorr_4_6_0_60vz
phi,PDCraw,,2,6,8,125076,0.000244589,0.00657739,XAXIS,h_phi_diff_raw_6_8
eta,PDCraw,,2,6,8,125076,-6.98545e-06,0.00949432,XAXIS,h_eta_diff_raw_6_8
phi,PDCcor,,2,6,8,125076,0.000393019,0.00640674,XAXIS,h_phi_diff_corr_6_8
eta,PDCcor,,2,6,8,125076,-8.46693e-06,0.008994,XAXIS,h_eta_diff_corr_6_8
phi,CLUSRAW,,2,6,8,125076,0.000216691,0.00662925,NAME,h_phi_diff_cpRaw_6_8
phi,CLUSCP,,2,6,8,125076,0.000396856,0.0064462,NAME,h_phi_diff_cpCorr_6_8
