variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.17074,0.00112326,0.024686,0.00133165,18.5379,0.0568416,0.0523408,0.12913,0.515153,0.0151407,53.9063
z02to04,8,3,25,0.170805,0.00114811,0.0250536,0.00136257,18.387,0.0576879,0.0531201,0.132915,0.488834,0.0161045,58.9212
z04to06,8,3,25,0.169548,0.00113485,0.0253043,0.00137152,18.4499,0.0582654,0.0536518,0.142807,0.459618,0.0169171,66.7022
z06to08,8,3,25,0.170567,0.00112621,0.0240174,0.00131281,18.2947,0.0553022,0.0509233,0.115455,0.496584,0.0154018,56.5502
z08to10,8,3,25,0.171759,0.00113299,0.0234,0.00130865,17.881,0.0538804,0.0496141,0.116104,0.499027,0.0151239,53.4965
