variant,Ecenter,mean,meanErr,RMS,RMSErr
PDCraw,13.5,-5.23602e-06,1.32702e-05,0.00387064,9.38348e-06
PDCraw,17.5,-4.57613e-06,1.01007e-05,0.00380786,7.14227e-06
PDCraw,25,-1.67714e-05,6.87938e-06,0.00368862,4.86446e-06
PDCcor,3,-1.58537e-05,1.78111e-05,0.00383695,1.25943e-05
PDCcor,5,-1.26341e-06,1.58775e-05,0.00349868,1.12271e-05
PDCcor,7,-1.14118e-05,1.44407e-05,0.00331982,1.02111e-05
PDCcor,9,-3.47716e-05,1.37631e-05,0.0032415,9.73201e-06
PDCcor,11,-3.48222e-05,1.32273e-05,0.00314825,9.35309e-06
PDCcor,13.5,-1.30015e-05,1.06171e-05,0.00309677,7.50741e-06
PDCcor,17.5,-3.8508e-07,8.0061e-06,0.00301821,5.66117e-06
PDCcor,25,-1.29539e-05,5.29593e-06,0.0028396,3.74479e-06
CLUScpDirectBvals,3,-2.20518e-05,1.7935e-05,0.00386365,1.26819e-05
CLUScpDirectBvals,5,-1.77445e-06,1.6007e-05,0.00352722,1.13187e-05
CLUScpDirectBvals,7,-2.85962e-05,1.45933e-05,0.0033549,1.0319e-05
CLUScpDirectBvals,9,-4.28925e-05,1.39958e-05,0.00329629,9.8965e-06
CLUScpDirectBvals,11,-4.47437e-05,1.3528e-05,0.00321983,9.56572e-06
CLUScpDirectBvals,13.5,-2.22151e-05,1.0843e-05,0.00316265,7.66712e-06
CLUScpDirectBvals,17.5,-1.21402e-05,8.2152e-06,0.00309704,5.80903e-06
CLUScpDirectBvals,25,-3.05161e-05,5.43957e-06,0.00291661,3.84635e-06
