KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,CLUSRAW,,1,4,6,51488,-7.18518e-05,0.00412764,NAME,h_phi_diff_cpRaw_4_6
phi,CLUSCP,,1,4,6,51488,1.63942e-05,0.00331072,NAME,h_phi_diff_cpCorr_4_6
phi,CLUSCP_EA_vzDep,,1,4,6,51488,1.94041e-05,0.00322794,NAME,h_phi_diff_cpCorrEA_geom_4_6
phi,CLUSCP_EA_etaDep,,1,4,6,51488,1.86761e-05,0.00322391,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6
phi,CLUSCP_EA,,1,4,6,51488,1.98283e-05,0.0032277,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6
phi,CLUSCP_EA_mixed,,1,4,6,51488,2.04785e-05,0.00322565,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6
phi,CLUScpDirectBvals,,1,4,6,51488,1.19881e-05,0.0033551,NAME,h_phi_diff_cpBcorr_4_6
eta,CLUSRAW,,1,4,6,51488,9.23823e-06,0.00409293,NAME,h_eta_diff_cpRaw_4_6
eta,CLUSCP,,1,4,6,51488,-2.33133e-05,0.00369762,NAME,h_eta_diff_cpCorr_4_6
eta,CLUSCP_EA_vzDep,,1,4,6,51488,-1.46209e-05,0.00352997,NAME,h_eta_diff_cpCorrEA_geom_4_6
eta,CLUSCP_EA_etaDep,,1,4,6,51488,-1.42858e-05,0.0035172,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6
eta,CLUSCP_EA,,1,4,6,51488,-1.43929e-05,0.00352944,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6
eta,CLUSCP_EA_mixed,,1,4,6,51488,-1.39078e-05,0.00351501,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6
eta,CLUScpDirectBvals,,1,4,6,51488,-1.41132e-05,0.00349409,NAME,h_eta_diff_cpBcorr_4_6
phi,PDCraw,0_60vz,1,4,6,277894,0.000125904,0.00411559,XAXIS,h_phi_diff_raw_4_6_0_60vz
phi,PDCcor,0_60vz,1,4,6,277895,0.000159055,0.00332785,XAXIS,h_phi_diff_corr_4_6_0_60vz
phi,CLUSRAW,0_60vz,1,4,6,277895,6.21732e-05,0.0042283,NAME,h_phi_diff_cpRaw_4_6_0_60vz
phi,CLUSCP,0_60vz,1,4,6,277895,0.000170541,0.0034321,NAME,h_phi_diff_cpCorr_4_6_0_60vz
phi,CLUSCP_EA_vzDep,0_60vz,1,4,6,277895,0.000180988,0.003353,NAME,h_phi_diff_cpCorrEA_geom_4_6_0_60vz
phi,CLUSCP_EA_etaDep,0_60vz,1,4,6,277895,0.000175421,0.00335363,NAME,h_phi_diff_cpCorrEA_fitEtaDep_4_6_0_60vz
phi,CLUSCP_EA,0_60vz,1,4,6,277895,0.000175187,0.00335571,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_4_6_0_60vz
phi,CLUSCP_EA_mixed,0_60vz,1,4,6,277895,0.000175631,0.00335409,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6_0_60vz
phi,CLUScpDirectBvals,0_60vz,1,4,6,277895,0.000158432,0.00348146,NAME,h_phi_diff_cpBcorr_4_6_0_60vz
eta,PDCraw,0_60vz,1,4,6,277895,-1.8437e-05,0.00563773,XAXIS,h_eta_diff_raw_4_6_0_60vz
eta,PDCcor,0_60vz,1,4,6,277895,-1.72928e-05,0.00497929,XAXIS,h_eta_diff_corr_4_6_0_60vz
eta,CLUSRAW,0_60vz,1,4,6,277895,1.84257e-05,0.00556867,NAME,h_eta_diff_cpRaw_4_6_0_60vz
eta,CLUSCP,0_60vz,1,4,6,277895,3.11491e-05,0.00503419,NAME,h_eta_diff_cpCorr_4_6_0_60vz
eta,CLUSCP_EA_vzDep,0_60vz,1,4,6,277895,2.12601e-05,0.00503763,NAME,h_eta_diff_cpCorrEA_geom_4_6_0_60vz
eta,CLUSCP_EA_etaDep,0_60vz,1,4,6,277895,2.72983e-05,0.00496698,NAME,h_eta_diff_cpCorrEA_fitEtaDep_4_6_0_60vz
eta,CLUSCP_EA,0_60vz,1,4,6,277895,2.77729e-05,0.004967,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6_0_60vz
eta,CLUSCP_EA_mixed,0_60vz,1,4,6,277895,2.71232e-05,0.00496767,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6_0_60vz
eta,CLUScpDirectBvals,0_60vz,1,4,6,277895,2.95972e-05,0.00495225,NAME,h_eta_diff_cpBcorr_4_6_0_60vz
phi,PDCraw,,2,6,8,55814,-4.75802e-05,0.00395796,XAXIS,h_phi_diff_raw_6_8
eta,PDCraw,,2,6,8,55814,-5.47642e-06,0.00396833,XAXIS,h_eta_diff_raw_6_8
phi,PDCcor,,2,6,8,55814,4.86339e-06,0.00306805,XAXIS,h_phi_diff_corr_6_8
eta,PDCcor,,2,6,8,55814,-1.24363e-05,0.00328248,XAXIS,h_eta_diff_corr_6_8
phi,CLUSRAW,,2,6,8,55814,-7.39209e-05,0.00404689,NAME,h_phi_diff_cpRaw_6_8
phi,CLUSCP,,2,6,8,55814,8.48438e-06,0.00313479,NAME,h_phi_diff_cpCorr_6_8
phi,CLUSCP_EA_vzDep,,2,6,8,55814,4.40256e-06,0.00307207,NAME,h_phi_diff_cpCorrEA_geom_6_8
phi,CLUSCP_EA_etaDep,,2,6,8,55814,3.80336e-06,0.00306842,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8
phi,CLUSCP_EA,,2,6,8,55814,4.6695e-06,0.00307219,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8
phi,CLUSCP_EA_mixed,,2,6,8,55814,4.81023e-06,0.00307064,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8
phi,CLUScpDirectBvals,,2,6,8,55814,7.08688e-06,0.00320485,NAME,h_phi_diff_cpBcorr_6_8
eta,CLUSRAW,,2,6,8,55814,-1.26625e-05,0.00400454,NAME,h_eta_diff_cpRaw_6_8
eta,CLUSCP,,2,6,8,55814,-3.34845e-05,0.00349373,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_vzDep,,2,6,8,55814,-2.8486e-05,0.00335263,NAME,h_eta_diff_cpCorrEA_geom_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,55814,-2.7303e-05,0.00333848,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
eta,CLUSCP_EA,,2,6,8,55814,-2.846e-05,0.00335239,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8
eta,CLUSCP_EA_mixed,,2,6,8,55814,-2.70113e-05,0.00333725,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8
eta,CLUScpDirectBvals,,2,6,8,55814,-2.56689e-05,0.0033167,NAME,h_eta_diff_cpBcorr_6_8
phi,PDCraw,0_60vz,2,6,8,293727,0.000123677,0.00406735,XAXIS,h_phi_diff_raw_6_8_0_60vz
phi,PDCcor,0_60vz,2,6,8,293727,0.000168441,0.00318851,XAXIS,h_phi_diff_corr_6_8_0_60vz
phi,CLUSRAW,0_60vz,2,6,8,293727,7.60785e-05,0.00418308,NAME,h_phi_diff_cpRaw_6_8_0_60vz
phi,CLUSCP,0_60vz,2,6,8,293727,0.000194096,0.00326881,NAME,h_phi_diff_cpCorr_6_8_0_60vz
phi,CLUSCP_EA_vzDep,0_60vz,2,6,8,293727,0.000198557,0.00321545,NAME,h_phi_diff_cpCorrEA_geom_6_8_0_60vz
phi,CLUSCP_EA_etaDep,0_60vz,2,6,8,293727,0.000192702,0.00321701,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8_0_60vz
phi,CLUSCP_EA,0_60vz,2,6,8,293727,0.000191802,0.0032194,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8_0_60vz
phi,CLUSCP_EA_mixed,0_60vz,2,6,8,293727,0.000191864,0.00321864,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8_0_60vz
phi,CLUScpDirectBvals,0_60vz,2,6,8,293727,0.00018418,0.00335162,NAME,h_phi_diff_cpBcorr_6_8_0_60vz
eta,PDCraw,0_60vz,2,6,8,293727,-8.83675e-06,0.00529149,XAXIS,h_eta_diff_raw_6_8_0_60vz
eta,PDCcor,0_60vz,2,6,8,293727,-6.9967e-06,0.00457861,XAXIS,h_eta_diff_corr_6_8_0_60vz
eta,CLUSRAW,0_60vz,2,6,8,293727,2.21504e-05,0.00523602,NAME,h_eta_diff_cpRaw_6_8_0_60vz
eta,CLUSCP,0_60vz,2,6,8,293727,3.65566e-05,0.00464397,NAME,h_eta_diff_cpCorr_6_8_0_60vz
eta,CLUSCP_EA_vzDep,0_60vz,2,6,8,293727,2.91674e-05,0.00465149,NAME,h_eta_diff_cpCorrEA_geom_6_8_0_60vz
eta,CLUSCP_EA_etaDep,0_60vz,2,6,8,293727,3.30497e-05,0.00458681,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8_0_60vz
eta,CLUSCP_EA,0_60vz,2,6,8,293727,3.36419e-05,0.00458432,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8_0_60vz
eta,CLUSCP_EA_mixed,0_60vz,2,6,8,293727,3.2977e-05,0.00458738,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8_0_60vz
eta,CLUScpDirectBvals,0_60vz,2,6,8,293727,3.4297e-05,0.00456893,NAME,h_eta_diff_cpBcorr_6_8_0_60vz
phi,PDCraw,,3,8,10,58295,-7.15556e-05,0.00404295,XAXIS,h_phi_diff_raw_8_10
eta,PDCraw,,3,8,10,58295,-2.28171e-05,0.00393122,XAXIS,h_eta_diff_raw_8_10
phi,PDCcor,,3,8,10,58295,-2.33739e-05,0.00318597,XAXIS,h_phi_diff_corr_8_10
eta,PDCcor,,3,8,10,58295,-3.84322e-05,0.00319001,XAXIS,h_eta_diff_corr_8_10
phi,CLUSRAW,,3,8,10,58295,-0.00010845,0.00413141,NAME,h_phi_diff_cpRaw_8_10
phi,CLUSCP,,3,8,10,58295,-1.17776e-05,0.00322224,NAME,h_phi_diff_cpCorr_8_10
phi,CLUSCP_EA_vzDep,,3,8,10,58295,-1.86747e-05,0.00317464,NAME,h_phi_diff_cpCorrEA_geom_8_10
phi,CLUSCP_EA_etaDep,,3,8,10,58295,-1.84881e-05,0.00317102,NAME,h_phi_diff_cpCorrEA_fitEtaDep_8_10
phi,CLUSCP_EA,,3,8,10,58295,-1.82477e-05,0.00317464,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_8_10
