E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2,4,"2x2 Block-Local With Corr",0.003641,"2x2 Block-Local No Correction",0.004197,0.000557,"",nan,"",nan,nan
4,6,"2x2 Block-Local With Corr",0.003453,"2x2 Block-Local No Correction",0.004173,0.000720,"",nan,"",nan,nan
6,8,"2x2 Block-Local With Corr",0.003325,"2x2 Block-Local No Correction",0.004144,0.000819,"",nan,"",nan,nan
8,10,"2x2 Block-Local With Corr",0.003241,"2x2 Block-Local No Correction",0.004095,0.000854,"",nan,"",nan,nan
10,12,"2x2 Block-Local With Corr",0.003317,"2x2 Block-Local No Correction",0.004138,0.000821,"",nan,"",nan,nan
12,15,"2x2 Block-Local With Corr",0.003441,"2x2 Block-Local No Correction",0.004207,0.000766,"",nan,"",nan,nan
15,20,"2x2 Block-Local With Corr",0.003410,"2x2 Block-Local No Correction",0.004218,0.000807,"",nan,"",nan,nan
20,30,"2x2 Block-Local With Corr",0.002966,"2x2 Block-Local No Correction",0.003950,0.000984,"",nan,"",nan,nan
