E_lo,E_hi,CLUSCP_delta_pct,CLUSCP_delta_pct_err,CLUSCP_EA_delta_pct,CLUSCP_EA_delta_pct_err,CLUSCP_EA_vzDep_delta_pct,CLUSCP_EA_vzDep_delta_pct_err,CLUSCP_EA_etaDep_delta_pct,CLUSCP_EA_etaDep_delta_pct_err,CLUSCP_EA_vzEtaDep_delta_pct,CLUSCP_EA_vzEtaDep_delta_pct_err,CLUSCP_EA_EandIncident_delta_pct,CLUSCP_EA_EandIncident_delta_pct_err
2,4,12.268,0.583,15.515,0.562,15.479,0.562,15.611,0.561,15.596,0.561,15.719,0.560
4,6,19.353,0.524,21.565,0.510,21.568,0.510,21.678,0.509,21.660,0.509,21.740,0.509
6,8,21.688,0.487,23.499,0.476,23.499,0.476,23.604,0.475,23.593,0.475,23.661,0.475
8,10,22.557,0.468,23.715,0.461,23.720,0.461,23.813,0.461,23.793,0.461,23.851,0.461
10,12,21.593,0.472,22.497,0.466,22.497,0.466,22.571,0.466,22.568,0.466,22.589,0.466
12,15,19.498,0.394,20.204,0.391,20.201,0.391,20.282,0.391,20.264,0.391,20.301,0.391
15,20,20.557,0.300,20.906,0.299,20.905,0.299,20.986,0.299,20.968,0.299,20.948,0.299
20,30,26.161,0.197,26.566,0.196,26.564,0.196,26.688,0.196,26.675,0.196,26.608,0.196
