series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.0017912,1.92722e-05,0.00427773,1.36275e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00131925,1.82961e-05,0.00415055,1.29373e-05
0,Constant-b (Production) Uncorr,phi,7,-0.00108708,1.72172e-05,0.0040675,1.21744e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000900243,1.71859e-05,0.00415182,1.21523e-05
0,Constant-b (Production) Uncorr,phi,11,-0.000681897,1.75551e-05,0.00426592,1.24133e-05
0,Constant-b (Production) Uncorr,phi,13.5,-0.00048293,1.46616e-05,0.00436357,1.03673e-05
0,Constant-b (Production) Uncorr,phi,17.5,-0.000224906,1.13047e-05,0.00435217,7.99365e-06
0,Constant-b (Production) Uncorr,phi,25,-6.53361e-05,7.36871e-06,0.00403536,5.21046e-06
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,3,-0.00125394,1.62262e-05,0.00360163,1.14736e-05
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,5,-0.000744642,1.42718e-05,0.00323763,1.00917e-05
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,7,-0.000508134,1.3034e-05,0.00307923,9.21644e-06
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,9,-0.000313766,1.31916e-05,0.00318685,9.32786e-06
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,11,-0.000122015,1.37835e-05,0.00334943,9.74643e-06
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,13.5,9.63286e-05,1.17845e-05,0.00350728,8.33287e-06
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,17.5,0.000331151,8.91835e-06,0.00343345,6.30623e-06
1,(Production) CP(EA #varphi:E-only, #eta:|#eta|+E),phi,25,0.000532437,5.37783e-06,0.00294508,3.8027e-06
