variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,2.4337e-05,1.19874e-05,0.00624321,8.47639e-06
CLUSRAW,5,1.85354e-05,1.05653e-05,0.00556835,7.4708e-06
CLUSRAW,7,2.08697e-05,9.66064e-06,0.0052367,6.8311e-06
CLUSRAW,9,2.99353e-05,9.23022e-06,0.00507777,6.52675e-06
CLUSRAW,11,3.28889e-05,8.99687e-06,0.00496207,6.36175e-06
CLUSRAW,13.5,3.11066e-05,7.2358e-06,0.00486511,5.11648e-06
CLUSRAW,17.5,3.19798e-05,5.46259e-06,0.00473236,3.86264e-06
CLUSRAW,25,2.22522e-05,3.70892e-06,0.00454099,2.6226e-06
CLUSCP,3,2.55748e-05,1.12067e-05,0.00583661,7.92435e-06
CLUSCP,5,3.14175e-05,9.55131e-06,0.00503393,6.7538e-06
CLUSCP,7,3.56908e-05,8.56676e-06,0.00464375,6.05762e-06
CLUSCP,9,3.56403e-05,8.09694e-06,0.00445433,5.7254e-06
CLUSCP,11,4.6685e-05,7.87982e-06,0.00434599,5.57188e-06
CLUSCP,13.5,4.87044e-05,6.32611e-06,0.00425347,4.47324e-06
CLUSCP,17.5,4.85509e-05,4.77783e-06,0.00413914,3.37844e-06
CLUSCP,25,3.55942e-05,3.25248e-06,0.00398215,2.29985e-06
CLUSCP_EA,3,2.46391e-05,1.10851e-05,0.00577328,7.83838e-06
CLUSCP_EA,5,2.60365e-05,9.47504e-06,0.00499374,6.69987e-06
CLUSCP_EA,7,3.0867e-05,8.51479e-06,0.00461558,6.02087e-06
CLUSCP_EA,9,3.3588e-05,8.05326e-06,0.0044303,5.69452e-06
CLUSCP_EA,11,4.26112e-05,7.82731e-06,0.00431702,5.53474e-06
CLUSCP_EA,13.5,4.30023e-05,6.27599e-06,0.00421977,4.4378e-06
CLUSCP_EA,17.5,4.40865e-05,4.72637e-06,0.00409456,3.34205e-06
CLUSCP_EA,25,3.27939e-05,3.20047e-06,0.00391847,2.26307e-06
CLUSCP_EA_vzDep,3,2.0622e-05,1.11978e-05,0.00583195,7.91803e-06
CLUSCP_EA_vzDep,5,2.11085e-05,9.57524e-06,0.00504654,6.77071e-06
CLUSCP_EA_vzDep,7,2.78128e-05,8.59687e-06,0.00466006,6.0789e-06
CLUSCP_EA_vzDep,9,2.87442e-05,8.11853e-06,0.0044662,5.74067e-06
CLUSCP_EA_vzDep,11,3.91695e-05,7.877e-06,0.00434443,5.56988e-06
CLUSCP_EA_vzDep,13.5,3.946e-05,6.30627e-06,0.00424013,4.45921e-06
CLUSCP_EA_vzDep,17.5,4.1227e-05,4.73667e-06,0.00410348,3.34933e-06
