variant,Ecenter,mean,meanErr,RMS,RMSErr
PDCraw,17.5,6.54792e-05,4.90141e-06,0.00424599,3.46582e-06
PDCraw,25,-3.76182e-05,3.23044e-06,0.00395516,2.28427e-06
PDCcor,3,-0.000129891,7.11511e-06,0.00370567,5.03114e-06
PDCcor,5,4.46261e-06,6.3136e-06,0.00332826,4.46439e-06
PDCcor,7,8.93715e-06,5.88285e-06,0.0031883,4.1598e-06
PDCcor,9,-2.39189e-05,6.00052e-06,0.00329957,4.24301e-06
PDCcor,11,4.05592e-06,6.26483e-06,0.00345436,4.42991e-06
PDCcor,13.5,7.27142e-05,5.23904e-06,0.003522,3.70456e-06
PDCcor,17.5,0.000112107,3.9047e-06,0.00338256,2.76104e-06
PDCcor,25,4.50781e-06,2.40005e-06,0.00293847,1.69709e-06
CLUScpDirectBvals,3,-0.000171401,7.3423e-06,0.00382399,5.19179e-06
CLUScpDirectBvals,5,-6.81706e-06,6.60423e-06,0.00348147,4.6699e-06
CLUScpDirectBvals,7,1.50399e-05,6.18345e-06,0.00335122,4.37236e-06
CLUScpDirectBvals,9,-1.16534e-05,6.27082e-06,0.00344821,4.43414e-06
CLUScpDirectBvals,11,1.96539e-05,6.51911e-06,0.00359457,4.60971e-06
CLUScpDirectBvals,13.5,0.000111089,5.46125e-06,0.00367138,3.86169e-06
CLUScpDirectBvals,17.5,0.000137439,4.08813e-06,0.00354146,2.89074e-06
CLUScpDirectBvals,25,3.17842e-06,2.51522e-06,0.00307948,1.77853e-06
