variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to10,8,3,25,0.180293,0.000530525,-0.00722933,0.000530525,-13.6267,-0.0166461,-0.0153281,0.0204841,0.827634,0.00213288,6.44533
z10to20,8,3,25,0.179963,0.000537958,-0.00684746,0.000537958,-12.7286,-0.0157669,-0.0145184,0.017423,0.897378,0.00154586,3.08798
z20to30,8,3,25,0.180949,0.000599346,-0.00758367,0.000599346,-12.6532,-0.0174621,-0.0160794,0.021662,0.840917,0.00215069,5.04803
z30to45,8,3,25,0.180374,0.000588069,-0.00630466,0.000588069,-10.721,-0.014517,-0.0133675,0.0166847,0.838552,0.00182277,3.68823
z45to60,8,3,25,0.179166,0.000766506,-0.00482986,0.000766506,-6.30113,-0.0111212,-0.0102406,0.0136503,0.696674,0.0022701,2.88115
