variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to10,8,3,25,0.198073,0.00114193,0.00163934,0.00114193,1.43559,0.00377471,0.00347583,0.00978827,0.133576,0.00294208,2.22797
z10to20,8,3,25,0.196658,0.00116858,0.00275373,0.00116858,2.35648,0.00634069,0.00583863,0.0105971,0.492167,0.00201279,0.954956
z20to30,8,3,25,0.225167,0.00171496,-0.00619486,0.00171496,-3.61225,-0.0142642,-0.0131347,0.0169549,0.759548,0.00235653,0.688458
z30to45,8,3,25,0.26488,0.00267843,-0.00847586,0.00267843,-3.16449,-0.0195164,-0.0179711,0.0356328,0.318049,0.00889428,3.57861
z45to60,4,5,25,0.61056,0.024089,-0.127439,0.024089,-5.29032,-0.293438,-0.205105,0.246721,0.861527,0.0250737,2.24921
