variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.202424,0.00194756,0.00175538,0.00194756,0.901324,0.00404191,0.00372187,0.01181,0.107113,0.00349447,1.12866
z02to04,8,3,25,0.202677,0.00186887,-0.000115276,0.00186887,-0.0616818,-0.000265432,-0.000244415,0.00751016,0.00252553,0.00159225,0.250445
z04to06,8,3,25,0.198029,0.00180039,0.00243133,0.00180039,1.35044,0.00559835,0.00515506,0.00709129,0.614897,0.00135503,0.19036
z06to08,8,3,25,0.194426,0.00174116,0.00294711,0.00174116,1.69261,0.00678598,0.00624865,0.00955449,0.427132,0.00239055,0.640408
z08to10,8,3,25,0.19701,0.00169805,-0.000607017,0.00169805,-0.357479,-0.00139771,-0.00128704,0.0132823,0.0150086,0.00343425,1.39779
