variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.184083,0.0017634,-0.00844145,0.0017634,-4.78704,-0.0194372,-0.0178981,0.0261739,0.638735,0.00407713,2.16017
z02to04,8,3,25,0.1789,0.00167738,-0.00737701,0.00167738,-4.39794,-0.0169862,-0.0156412,0.0158485,0.838476,0.00208325,0.621004
z04to06,8,3,25,0.180254,0.0017329,-0.00825395,0.0017329,-4.76309,-0.0190054,-0.0175006,0.0255397,0.711063,0.00328989,1.53646
z06to08,8,3,25,0.175232,0.00161706,-0.00471914,0.00161706,-2.91835,-0.0108662,-0.0100058,0.0109963,0.720536,0.00197052,0.550547
z08to10,8,3,25,0.179433,0.00173806,-0.00694572,0.00173806,-3.99626,-0.0159931,-0.0147267,0.0283339,0.52171,0.00420702,2.44016
