E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2.000,4.000,"CP(EA |#eta|+E), cluster",0.003709,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003712,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.004013,"CP(EA |#eta|+E), cluster",0.004013,0.000000
4.000,6.000,"CP(EA |#eta|+E), cluster",0.003335,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003337,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003615,"CP(EA |#eta|+E), cluster",0.003615,0.000000
6.000,8.000,"CP(EA |#eta|+E), cluster",0.003165,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003167,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003425,"CP(EA |#eta|+E), cluster",0.003425,0.000000
8.000,10.000,"CP(EA |#eta|+E), cluster",0.003251,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003256,0.000004,"CP(EA |#eta|+E), cluster",0.003355,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003355,0.000000
10.000,12.000,"CP(EA |#eta|+E), cluster",0.003420,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003421,0.000001,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003273,"CP(EA |#eta|+E), cluster",0.003274,0.000001
12.000,15.000,"CP(EA |#eta|+E), cluster",0.003588,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003589,0.000001,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003236,"CP(EA |#eta|+E), cluster",0.003236,0.000001
15.000,20.000,"CP(EA |#eta|+E), cluster",0.003499,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003501,0.000002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003172,"CP(EA |#eta|+E), cluster",0.003172,0.000000
20.000,30.000,"CP(EA |#eta|+E), cluster",0.003002,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.003006,0.000004,"CP(EA #varphi:E-only, #eta:|#eta|+E), cluster",0.002986,"CP(EA |#eta|+E), cluster",0.002987,0.000001
