variant,Ecenter,mean,meanErr,RMS,RMSErr
PDCraw,11,-4.29418e-05,2.3609e-05,0.0038962,1.66941e-05
PDCraw,13.5,6.73619e-06,1.90747e-05,0.00387701,1.34879e-05
PDCraw,17.5,-3.0494e-06,1.45185e-05,0.00380357,1.02661e-05
PDCraw,25,-2.11141e-05,9.91737e-06,0.00369452,7.01264e-06
PDCcor,3,-1.74591e-05,2.58277e-05,0.00386001,1.8263e-05
PDCcor,5,-9.53334e-06,2.30766e-05,0.00352741,1.63176e-05
PDCcor,7,-6.19775e-06,2.05847e-05,0.00329747,1.45556e-05
PDCcor,9,-3.81885e-05,1.96501e-05,0.00321121,1.38947e-05
PDCcor,11,-4.3572e-05,1.89653e-05,0.00312985,1.34105e-05
PDCcor,13.5,-5.38202e-06,1.51339e-05,0.00307602,1.07013e-05
PDCcor,17.5,-2.43358e-06,1.14086e-05,0.00298883,8.0671e-06
PDCcor,25,-1.59136e-05,7.56271e-06,0.00281734,5.34764e-06
CLUScpDirectBvals,3,-1.7113e-05,2.60082e-05,0.00388698,1.83905e-05
CLUScpDirectBvals,5,-3.61476e-06,2.32676e-05,0.0035566,1.64527e-05
CLUScpDirectBvals,7,-2.15807e-05,2.08029e-05,0.00333243,1.47099e-05
CLUScpDirectBvals,9,-4.80541e-05,1.99795e-05,0.00326505,1.41276e-05
CLUScpDirectBvals,11,-5.27693e-05,1.94238e-05,0.00320552,1.37347e-05
CLUScpDirectBvals,13.5,-1.68306e-05,1.54551e-05,0.00314131,1.09284e-05
CLUScpDirectBvals,17.5,-1.30695e-05,1.17226e-05,0.0030711,8.28915e-06
CLUScpDirectBvals,25,-3.76425e-05,7.76691e-06,0.00289341,5.49204e-06
