variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
etaCore,8,3,25,0.186571,0.0007152,-0.00667017,0.0007152,-9.3263,-0.0153586,-0.0141425,0.0164688,0.923726,0.00122065,1.19702
etaEdge,8,3,25,0.179324,0.000515972,-0.00707253,0.000515972,-13.7072,-0.0162851,-0.0149956,0.0200333,0.821071,0.00213457,6.82414
etaMid,8,3,25,0.182189,0.000444471,-0.00698916,0.000444471,-15.7247,-0.0160931,-0.0148189,0.0182195,0.903894,0.00143597,4.38171
fullEta,8,3,25,0.182105,0.000304053,-0.00690271,0.000304053,-22.7023,-0.0158941,-0.0146356,0.0183704,0.892629,0.00152579,10.3324
originalEta,8,3,25,0.180962,0.000294636,-0.00649646,0.000294636,-22.0491,-0.0149587,-0.0137742,0.0173807,0.88424,0.00151053,10.6077
