view,variant,Elo,Ehi,entries
etaCore,No Correction,8,10,24
etaCore,No Correction,10,12,10
etaCore,No Correction,12,15,1
etaCore,No Correction,15,20,2
etaCore,No Correction,20,30,0
etaCore,Legacy Constant b-corr,2,4,722175
etaCore,Legacy Constant b-corr,4,6,7331
etaCore,Legacy Constant b-corr,6,8,284
etaCore,Legacy Constant b-corr,8,10,24
etaCore,Legacy Constant b-corr,10,12,10
etaCore,Legacy Constant b-corr,12,15,1
etaCore,Legacy Constant b-corr,15,20,2
etaCore,Legacy Constant b-corr,20,30,0
etaCore,CLUS-CP(EA),2,4,722175
etaCore,CLUS-CP(EA),4,6,7331
etaCore,CLUS-CP(EA),6,8,284
etaCore,CLUS-CP(EA),8,10,24
etaCore,CLUS-CP(EA),10,12,10
etaCore,CLUS-CP(EA),12,15,1
etaCore,CLUS-CP(EA),15,20,2
etaCore,CLUS-CP(EA),20,30,0
etaCore,Energy/|#eta|-Dep b-correction,2,4,722175
etaCore,Energy/|#eta|-Dep b-correction,4,6,7331
etaCore,Energy/|#eta|-Dep b-correction,6,8,284
etaCore,Energy/|#eta|-Dep b-correction,8,10,24
etaCore,Energy/|#eta|-Dep b-correction,10,12,10
etaCore,Energy/|#eta|-Dep b-correction,12,15,1
etaCore,Energy/|#eta|-Dep b-correction,15,20,2
etaCore,Energy/|#eta|-Dep b-correction,20,30,0
etaCore,Energy-Dep b-correction,2,4,722175
etaCore,Energy-Dep b-correction,4,6,7331
etaCore,Energy-Dep b-correction,6,8,284
etaCore,Energy-Dep b-correction,8,10,24
etaCore,Energy-Dep b-correction,10,12,10
etaCore,Energy-Dep b-correction,12,15,1
etaCore,Energy-Dep b-correction,15,20,2
etaCore,Energy-Dep b-correction,20,30,0
etaCore,EA-mix,2,4,722175
etaCore,EA-mix,4,6,7331
etaCore,EA-mix,6,8,284
etaCore,EA-mix,8,10,24
etaCore,EA-mix,10,12,10
etaCore,EA-mix,12,15,1
etaCore,EA-mix,15,20,2
etaCore,EA-mix,20,30,0
etaCore,PDC-raw,2,4,722175
etaCore,PDC-raw,4,6,7331
etaCore,PDC-raw,6,8,284
etaCore,PDC-raw,8,10,24
etaCore,PDC-raw,10,12,10
etaCore,PDC-raw,12,15,1
etaCore,PDC-raw,15,20,2
etaCore,PDC-raw,20,30,0
etaCore,PDC-corr,2,4,722175
etaCore,PDC-corr,4,6,7331
etaCore,PDC-corr,6,8,284
etaCore,PDC-corr,8,10,24
etaCore,PDC-corr,10,12,10
etaCore,PDC-corr,12,15,1
etaCore,PDC-corr,15,20,2
etaCore,PDC-corr,20,30,0
etaMid,No Correction,2,4,2228384
etaMid,No Correction,4,6,27491
etaMid,No Correction,6,8,1169
etaMid,No Correction,8,10,136
etaMid,No Correction,10,12,25
etaMid,No Correction,12,15,8
etaMid,No Correction,15,20,4
etaMid,No Correction,20,30,0
etaMid,Legacy Constant b-corr,2,4,2228384
etaMid,Legacy Constant b-corr,4,6,27491
etaMid,Legacy Constant b-corr,6,8,1169
etaMid,Legacy Constant b-corr,8,10,136
etaMid,Legacy Constant b-corr,10,12,25
etaMid,Legacy Constant b-corr,12,15,8
etaMid,Legacy Constant b-corr,15,20,4
etaMid,Legacy Constant b-corr,20,30,0
etaMid,CLUS-CP(EA),2,4,2228384
etaMid,CLUS-CP(EA),4,6,27491
etaMid,CLUS-CP(EA),6,8,1169
etaMid,CLUS-CP(EA),8,10,136
etaMid,CLUS-CP(EA),10,12,25
etaMid,CLUS-CP(EA),12,15,8
etaMid,CLUS-CP(EA),15,20,4
etaMid,CLUS-CP(EA),20,30,0
etaMid,Energy/|#eta|-Dep b-correction,2,4,2228384
etaMid,Energy/|#eta|-Dep b-correction,4,6,27491
etaMid,Energy/|#eta|-Dep b-correction,6,8,1169
etaMid,Energy/|#eta|-Dep b-correction,8,10,136
etaMid,Energy/|#eta|-Dep b-correction,10,12,25
etaMid,Energy/|#eta|-Dep b-correction,12,15,8
etaMid,Energy/|#eta|-Dep b-correction,15,20,4
etaMid,Energy/|#eta|-Dep b-correction,20,30,0
etaMid,Energy-Dep b-correction,2,4,2228384
etaMid,Energy-Dep b-correction,4,6,27491
etaMid,Energy-Dep b-correction,6,8,1169
etaMid,Energy-Dep b-correction,8,10,136
etaMid,Energy-Dep b-correction,10,12,25
etaMid,Energy-Dep b-correction,12,15,8
etaMid,Energy-Dep b-correction,15,20,4
etaMid,Energy-Dep b-correction,20,30,0
etaMid,EA-mix,2,4,2228384
etaMid,EA-mix,4,6,27491
etaMid,EA-mix,6,8,1169
etaMid,EA-mix,8,10,136
etaMid,EA-mix,10,12,25
etaMid,EA-mix,12,15,8
etaMid,EA-mix,15,20,4
etaMid,EA-mix,20,30,0
etaMid,PDC-raw,2,4,2228384
etaMid,PDC-raw,4,6,27491
etaMid,PDC-raw,6,8,1169
etaMid,PDC-raw,8,10,136
etaMid,PDC-raw,10,12,25
etaMid,PDC-raw,12,15,8
etaMid,PDC-raw,15,20,4
etaMid,PDC-raw,20,30,0
etaMid,PDC-corr,2,4,2228384
etaMid,PDC-corr,4,6,27491
etaMid,PDC-corr,6,8,1169
etaMid,PDC-corr,8,10,136
etaMid,PDC-corr,10,12,25
etaMid,PDC-corr,12,15,8
etaMid,PDC-corr,15,20,4
etaMid,PDC-corr,20,30,0
etaEdge,No Correction,2,4,2974310
etaEdge,No Correction,4,6,59849
etaEdge,No Correction,6,8,3437
etaEdge,No Correction,8,10,399
etaEdge,No Correction,10,12,66
etaEdge,No Correction,12,15,20
etaEdge,No Correction,15,20,15
etaEdge,No Correction,20,30,0
etaEdge,Legacy Constant b-corr,2,4,2974310
etaEdge,Legacy Constant b-corr,4,6,59849
etaEdge,Legacy Constant b-corr,6,8,3437
etaEdge,Legacy Constant b-corr,8,10,399
etaEdge,Legacy Constant b-corr,10,12,66
etaEdge,Legacy Constant b-corr,12,15,20
etaEdge,Legacy Constant b-corr,15,20,15
etaEdge,Legacy Constant b-corr,20,30,0
etaEdge,CLUS-CP(EA),2,4,2974310
etaEdge,CLUS-CP(EA),4,6,59849
etaEdge,CLUS-CP(EA),6,8,3437
etaEdge,CLUS-CP(EA),8,10,399
etaEdge,CLUS-CP(EA),10,12,66
etaEdge,CLUS-CP(EA),12,15,20
etaEdge,CLUS-CP(EA),15,20,15
etaEdge,CLUS-CP(EA),20,30,0
etaEdge,Energy/|#eta|-Dep b-correction,2,4,2974310
etaEdge,Energy/|#eta|-Dep b-correction,4,6,59849
etaEdge,Energy/|#eta|-Dep b-correction,6,8,3437
etaEdge,Energy/|#eta|-Dep b-correction,8,10,399
etaEdge,Energy/|#eta|-Dep b-correction,10,12,66
etaEdge,Energy/|#eta|-Dep b-correction,12,15,20
etaEdge,Energy/|#eta|-Dep b-correction,15,20,15
etaEdge,Energy/|#eta|-Dep b-correction,20,30,0
etaEdge,Energy-Dep b-correction,2,4,2974310
etaEdge,Energy-Dep b-correction,4,6,59849
etaEdge,Energy-Dep b-correction,6,8,3437
etaEdge,Energy-Dep b-correction,8,10,399
etaEdge,Energy-Dep b-correction,10,12,66
etaEdge,Energy-Dep b-correction,12,15,20
etaEdge,Energy-Dep b-correction,15,20,15
etaEdge,Energy-Dep b-correction,20,30,0
etaEdge,EA-mix,2,4,2974310
etaEdge,EA-mix,4,6,59849
etaEdge,EA-mix,6,8,3437
etaEdge,EA-mix,8,10,399
etaEdge,EA-mix,10,12,66
etaEdge,EA-mix,12,15,20
etaEdge,EA-mix,15,20,15
etaEdge,EA-mix,20,30,0
etaEdge,PDC-raw,2,4,2974310
etaEdge,PDC-raw,4,6,59849
etaEdge,PDC-raw,6,8,3437
etaEdge,PDC-raw,8,10,399
etaEdge,PDC-raw,10,12,66
etaEdge,PDC-raw,12,15,20
etaEdge,PDC-raw,15,20,15
etaEdge,PDC-raw,20,30,0
etaEdge,PDC-corr,2,4,2974310
etaEdge,PDC-corr,4,6,59849
etaEdge,PDC-corr,6,8,3437
etaEdge,PDC-corr,8,10,399
etaEdge,PDC-corr,10,12,66
etaEdge,PDC-corr,12,15,20
etaEdge,PDC-corr,15,20,15
etaEdge,PDC-corr,20,30,0
