variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.193041,0.000880186,-0.00360437,0.000880186,-4.09501,-0.00829936,-0.00764221,0.0098619,0.686068,0.00159131,1.27887
z02to04,8,3,25,0.1927,0.00086421,-0.00433315,0.00086421,-5.014,-0.00997745,-0.00918742,0.0112152,0.794378,0.00143602,1.08458
z04to06,8,3,25,0.189134,0.000836314,-0.00209851,0.000836314,-2.50923,-0.00483199,-0.00444939,0.00702146,0.586395,0.00117655,0.740161
z06to08,8,3,25,0.19107,0.000852808,-0.0031867,0.000852808,-3.73672,-0.00733765,-0.00675665,0.00979804,0.649551,0.00154853,1.25557
z08to10,8,3,25,0.192748,0.000845105,-0.0049478,0.000845105,-5.85466,-0.0113927,-0.0104906,0.0103503,0.836348,0.00143963,1.11785
