variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to10,8,3,25,0.183032,0.000454315,-0.00703805,0.000454315,-15.4916,-0.0162057,-0.0149225,0.019159,0.87489,0.00168882,5.71976
z10to20,8,3,25,0.183916,0.000457436,-0.00709274,0.000457436,-15.5054,-0.0163316,-0.0150385,0.0187607,0.889648,0.00162125,4.97025
z20to30,8,3,25,0.182702,0.000478707,-0.00722604,0.000478707,-15.0949,-0.0166386,-0.0153211,0.0195541,0.884448,0.00166628,4.96151
z30to45,8,3,25,0.180468,0.000403317,-0.00663945,0.000403317,-16.4621,-0.0152879,-0.0140774,0.0162047,0.96457,0.00082012,1.65904
z45to60,8,3,25,0.179187,0.000426304,-0.00770339,0.000426304,-18.0702,-0.0177377,-0.0163332,0.0185937,0.94563,0.00118298,3.12902
