variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.183278,0.000682252,-0.00724174,0.000682252,-10.6145,-0.0166747,-0.0153544,0.0177613,0.888681,0.00164495,2.35217
z02to04,8,3,25,0.183665,0.000692835,-0.00779917,0.000692835,-11.2569,-0.0179583,-0.0165363,0.0196752,0.946532,0.00116439,1.19301
z04to06,8,3,25,0.184023,0.000704982,-0.00775159,0.000704982,-10.9954,-0.0178487,-0.0164354,0.0240002,0.771318,0.00262234,5.97411
z06to08,8,3,25,0.178791,0.000655796,-0.00537152,0.000655796,-8.19085,-0.0123684,-0.011389,0.0129818,0.882193,0.00128159,1.49319
z08to10,8,3,25,0.180337,0.000676621,-0.00615802,0.000676621,-9.10113,-0.0141794,-0.0130566,0.0179504,0.784109,0.00206779,3.80099
