series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.000200359,1.90913e-05,0.00423763,1.34996e-05
0,no corr, cluster,phi,5,-7.08126e-05,1.82338e-05,0.00413743,1.28933e-05
0,no corr, cluster,phi,7,-7.3942e-05,1.71863e-05,0.00406027,1.21526e-05
0,no corr, cluster,phi,9,-0.000110052,1.71581e-05,0.00414272,1.21326e-05
0,no corr, cluster,phi,11,-7.43098e-05,1.75279e-05,0.00425763,1.23941e-05
0,no corr, cluster,phi,13.5,-3.55945e-05,1.46381e-05,0.00435632,1.03507e-05
0,no corr, cluster,phi,17.5,4.1175e-05,1.12985e-05,0.00434968,7.98923e-06
0,no corr, cluster,phi,25,-3.86608e-05,7.36727e-06,0.00403457,5.20944e-06
