series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,eta,3,2.29427e-05,1.8688e-05,0.00434286,1.32144e-05
0,no corr, cluster,eta,5,1.72729e-05,1.75135e-05,0.00413957,1.23839e-05
0,no corr, cluster,eta,7,-1.07905e-05,1.65242e-05,0.00405093,1.16844e-05
0,no corr, cluster,eta,9,-1.73027e-05,1.61333e-05,0.00402975,1.1408e-05
0,no corr, cluster,eta,11,-3.33323e-05,1.59309e-05,0.00398963,1.12648e-05
0,no corr, cluster,eta,13.5,3.18048e-06,1.29864e-05,0.00396845,9.18279e-06
0,no corr, cluster,eta,17.5,-9.10685e-06,9.97063e-06,0.00392674,7.0503e-06
0,no corr, cluster,eta,25,-2.49012e-05,6.77794e-06,0.00379236,4.79273e-06
