variant,Ecenter,mean,meanErr,RMS,RMSErr
CLUSRAW,3,-0.00163363,8.43968e-06,0.0043955,5.96776e-06
CLUSRAW,5,-0.00116298,8.04695e-06,0.00424107,5.69005e-06
CLUSRAW,7,-0.000911962,7.73288e-06,0.00419173,5.46797e-06
CLUSRAW,9,-0.000723164,7.76148e-06,0.00426978,5.48819e-06
CLUSRAW,11,-0.000511507,7.91405e-06,0.00436486,5.59608e-06
CLUSRAW,13.5,-0.000281879,6.59238e-06,0.0044325,4.66151e-06
CLUSRAW,17.5,-5.51387e-05,5.04212e-06,0.0043681,3.56532e-06
CLUSRAW,25,7.87513e-05,3.29391e-06,0.00403288,2.32915e-06
CLUSCP,3,-0.000952016,7.42336e-06,0.00386618,5.24911e-06
CLUSCP,5,-0.000470724,6.50925e-06,0.00343064,4.60273e-06
CLUSCP,7,-0.000203731,6.02528e-06,0.00326609,4.26051e-06
CLUSCP,9,-3.50982e-05,6.11349e-06,0.00336318,4.32289e-06
CLUSCP,11,0.000149783,6.35007e-06,0.00350227,4.49018e-06
CLUSCP,13.5,0.000370456,5.3153e-06,0.00357384,3.75849e-06
CLUSCP,17.5,0.00057942,3.9642e-06,0.00343428,2.80312e-06
CLUSCP,25,0.000758407,2.42457e-06,0.0029685,1.71443e-06
CLUSCP_EA,3,-0.00106747,7.18518e-06,0.00374213,5.08069e-06
CLUSCP_EA,5,-0.000570064,6.36169e-06,0.00335287,4.49839e-06
CLUSCP_EA,7,-0.000302035,5.92926e-06,0.00321405,4.19262e-06
CLUSCP_EA,9,-0.000126611,6.03838e-06,0.00332186,4.26978e-06
CLUSCP_EA,11,6.64108e-05,6.29244e-06,0.00347049,4.44942e-06
CLUSCP_EA,13.5,0.00029971,5.28441e-06,0.00355306,3.73664e-06
CLUSCP_EA,17.5,0.000516571,3.94898e-06,0.00342109,2.79235e-06
CLUSCP_EA,25,0.000692064,2.40894e-06,0.00294937,1.70338e-06
CLUSCP_EA_vzDep,3,-0.00106755,7.1842e-06,0.00374162,5.07999e-06
CLUSCP_EA_vzDep,5,-0.000569907,6.36004e-06,0.003352,4.49723e-06
CLUSCP_EA_vzDep,7,-0.000301621,5.92782e-06,0.00321326,4.1916e-06
CLUSCP_EA_vzDep,9,-0.000126307,6.03696e-06,0.00332108,4.26877e-06
CLUSCP_EA_vzDep,11,6.66515e-05,6.29128e-06,0.00346985,4.44861e-06
CLUSCP_EA_vzDep,13.5,0.000299506,5.28308e-06,0.00355217,3.7357e-06
CLUSCP_EA_vzDep,17.5,0.00051638,3.94791e-06,0.00342016,2.7916e-06
CLUSCP_EA_vzDep,25,0.000692551,2.40815e-06,0.0029484,1.70282e-06
CLUSCP_EA_etaDep,3,-0.00107114,7.18005e-06,0.00373946,5.07706e-06
CLUSCP_EA_etaDep,5,-0.000572747,6.35914e-06,0.00335153,4.49659e-06
CLUSCP_EA_etaDep,7,-0.000304191,5.92733e-06,0.003213,4.19126e-06
CLUSCP_EA_etaDep,9,-0.000128484,6.03628e-06,0.00332071,4.26829e-06
CLUSCP_EA_etaDep,11,6.51444e-05,6.29057e-06,0.00346946,4.4481e-06
CLUSCP_EA_etaDep,13.5,0.000299746,5.28274e-06,0.00355194,3.73546e-06
CLUSCP_EA_etaDep,17.5,0.000516359,3.94754e-06,0.00341983,2.79133e-06
CLUSCP_EA_etaDep,25,0.000693263,2.40747e-06,0.00294757,1.70234e-06
CLUSCP_EA_vzEtaDep,3,-0.00107168,7.17773e-06,0.00373825,5.07542e-06
CLUSCP_EA_vzEtaDep,5,-0.000573856,6.35584e-06,0.00334979,4.49426e-06
CLUSCP_EA_vzEtaDep,7,-0.000305531,5.92417e-06,0.00321129,4.18902e-06
