variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
z00to02,8,3,25,0.183177,0.000983931,-0.00698897,0.000983931,-7.1031,-0.0160927,-0.0148185,0.0172901,0.794655,0.00230626,2.17295
z02to04,8,3,25,0.18135,0.000981386,-0.00690572,0.000981386,-7.0367,-0.015901,-0.014642,0.0182235,0.875098,0.00165283,1.17788
z04to06,8,3,25,0.184117,0.00102427,-0.00722066,0.00102427,-7.04958,-0.0166262,-0.0153097,0.0206612,0.810507,0.00220579,1.93648
z06to08,8,3,25,0.180108,0.000967892,-0.00607804,0.000967892,-6.27967,-0.0139952,-0.012887,0.0155528,0.788357,0.0020266,1.76443
z08to10,8,3,25,0.180185,0.000991309,-0.00570818,0.000991309,-5.75822,-0.0131436,-0.0121028,0.0197879,0.575419,0.00312905,4.07758
