variant,N,E_min,E_max,b0@E0,db0,m_lnE,dm_lnE,z_m,m_per_decade,Delta_b_fit,Delta_b_data,R2w,RMSEw,chi2_ndf
etaCore,8,3,25,0.182435,0.000280129,-0.00641129,0.000280129,-22.8869,-0.0147626,-0.0135936,0.0163401,0.943957,0.00098535,5.18318
etaEdge,8,3,25,0.179217,0.000253263,-0.00670103,0.000253263,-26.4588,-0.0154297,-0.0142079,0.017661,0.892303,0.0015481,14.0825
etaMid,8,3,25,0.180212,0.00018436,-0.00731755,0.00018436,-39.6917,-0.0168493,-0.0155151,0.0183623,0.94447,0.00113434,15.4378
fullEta,8,3,25,0.180448,0.000131416,-0.00690135,0.000131416,-52.5151,-0.015891,-0.0146327,0.0176114,0.935478,0.0011679,31.7025
originalEta,8,3,25,0.179263,0.000125602,-0.00633288,0.000125602,-50.4204,-0.014582,-0.0134274,0.0163437,0.922756,0.00119478,35.468
