variantName etaOrPhi etaRange zRange m b0
zAndEtaAndEnergyDep eta etaCore z06to08 -0.00683271 0.178641
zAndEtaAndEnergyDep eta etaCore z08to10 -0.00624266 0.172885
zAndEtaAndEnergyDep phi etaMid z00to02 -0.00674642 0.182061
zAndEtaAndEnergyDep phi etaMid z02to04 -0.00802526 0.183525
zAndEtaAndEnergyDep phi etaMid z04to06 -0.0074375 0.184205
zAndEtaAndEnergyDep phi etaMid z06to08 -0.00539366 0.179116
zAndEtaAndEnergyDep phi etaMid z08to10 -0.00692638 0.181118
zAndEtaAndEnergyDep eta etaMid z00to02 -0.00436917 0.192906
zAndEtaAndEnergyDep eta etaMid z02to04 -0.00617965 0.193596
zAndEtaAndEnergyDep eta etaMid z04to06 -0.00263343 0.191042
zAndEtaAndEnergyDep eta etaMid z06to08 -0.00439508 0.194106
zAndEtaAndEnergyDep eta etaMid z08to10 -0.00691303 0.199925
zAndEtaAndEnergyDep phi etaEdge z00to02 -0.00688682 0.180036
zAndEtaAndEnergyDep phi etaEdge z02to04 -0.00822848 0.180729
zAndEtaAndEnergyDep phi etaEdge z04to06 -0.00879278 0.181935
zAndEtaAndEnergyDep phi etaEdge z06to08 -0.00519692 0.175603
zAndEtaAndEnergyDep phi etaEdge z08to10 -0.00558253 0.176822
zAndEtaAndEnergyDep eta etaEdge z00to02 0.0017233 0.200865
zAndEtaAndEnergyDep eta etaEdge z02to04 0.000769521 0.201848
zAndEtaAndEnergyDep eta etaEdge z04to06 0.00459009 0.191649
zAndEtaAndEnergyDep eta etaEdge z06to08 0.00448182 0.191942
zAndEtaAndEnergyDep eta etaEdge z08to10 0.000243013 0.19572
zAndEtaAndEnergyDep phi originalEta z00to02 -0.00659921 0.18154
zAndEtaAndEnergyDep phi originalEta z02to04 -0.00725752 0.182047
zAndEtaAndEnergyDep phi originalEta z04to06 -0.00736951 0.183048
zAndEtaAndEnergyDep phi originalEta z06to08 -0.0051602 0.178242
zAndEtaAndEnergyDep phi originalEta z08to10 -0.00591844 0.179537
zAndEtaAndEnergyDep eta originalEta z00to02 -0.00252937 0.188314
zAndEtaAndEnergyDep eta originalEta z02to04 -0.00270755 0.187628
zAndEtaAndEnergyDep eta originalEta z04to06 -0.000969705 0.186078
zAndEtaAndEnergyDep eta originalEta z06to08 -0.00242184 0.188932
zAndEtaAndEnergyDep eta originalEta z08to10 -0.00401729 0.190298
etaAndEnergyDep phi etaCore originalZRange -0.00665348 0.186542
etaAndEnergyDep phi etaEdge originalZRange -0.0070556 0.179281
etaAndEnergyDep phi etaMid originalZRange -0.00699322 0.182191
etaAndEnergyDep phi fullEta originalZRange -0.00689593 0.182087
energyDepOnly phi originalEta originalZRange -0.00648978 0.180945
etaAndEnergyDep eta etaCore originalZRange -0.00615566 0.177377
etaAndEnergyDep eta etaEdge originalZRange 0.00240799 0.196346
etaAndEnergyDep eta etaMid originalZRange -0.00494446 0.194409
etaAndEnergyDep eta fullEta originalZRange -0.0035925 0.191075
energyDepOnly eta originalEta originalZRange -0.00254355 0.188284
zAndEnergyDep phi originalEta z00to10 -0.00648978 0.180945
zAndEnergyDep phi originalEta z10to20 -0.00660487 0.181509
zAndEnergyDep phi originalEta z20to30 -0.00612276 0.179516
zAndEnergyDep phi originalEta z30to45 -0.00631138 0.178632
zAndEnergyDep phi originalEta z45to60 -0.0063078 0.176338
zAndEnergyDep eta originalEta z00to10 -0.00254355 0.188284
zAndEnergyDep eta originalEta z10to20 -0.00246435 0.192384
zAndEnergyDep eta originalEta z20to30 -0.00611304 0.208018
zAndEnergyDep eta originalEta z30to45 -0.00987074 0.234889
zAndEnergyDep eta originalEta z45to60 -0.00287251 0.323109
zAndEnergyDep phi originalEta z00to02 -0.00659921 0.18154
zAndEnergyDep phi originalEta z02to04 -0.00725752 0.182047
zAndEnergyDep phi originalEta z04to06 -0.00736951 0.183048
zAndEnergyDep phi originalEta z06to08 -0.0051602 0.178242
zAndEnergyDep phi originalEta z08to10 -0.00591844 0.179537
zAndEnergyDep eta originalEta z00to02 -0.00252937 0.188314
zAndEnergyDep eta originalEta z02to04 -0.00270755 0.187628
zAndEnergyDep eta originalEta z04to06 -0.000969705 0.186078
zAndEnergyDep eta originalEta z06to08 -0.00242184 0.188932
zAndEnergyDep eta originalEta z08to10 -0.00401729 0.190298
zAndEtaAndEnergyDep phi fullEta z00to10 -0.00689593 0.182087
zAndEtaAndEnergyDep phi fullEta z10to20 -0.00694279 0.182393
zAndEtaAndEnergyDep phi fullEta z20to30 -0.0068162 0.180883
zAndEtaAndEnergyDep phi fullEta z30to45 -0.00690762 0.179798
zAndEtaAndEnergyDep phi fullEta z45to60 -0.00705047 0.177463
zAndEtaAndEnergyDep eta fullEta z00to10 -0.0035925 0.191075
zAndEtaAndEnergyDep eta fullEta z10to20 -0.00351909 0.19384
zAndEtaAndEnergyDep eta fullEta z20to30 -0.00776786 0.209079
zAndEtaAndEnergyDep eta fullEta z30to45 -0.0136257 0.236984
zAndEtaAndEnergyDep eta fullEta z45to60 -0.0180748 0.33395
zAndEtaAndEnergyDep phi etaCore z00to10 -0.00665348 0.186542
zAndEtaAndEnergyDep phi etaCore z10to20 -0.00595615 0.185645
zAndEtaAndEnergyDep phi etaCore z20to30 -0.00567335 0.183417
zAndEtaAndEnergyDep phi etaCore z30to45 -0.00677932 0.182155
zAndEtaAndEnergyDep phi etaCore z45to60 -0.00666621 0.177011
zAndEtaAndEnergyDep eta etaCore z00to10 -0.00615566 0.177377
zAndEtaAndEnergyDep eta etaCore z10to20 -0.00695566 0.173872
zAndEtaAndEnergyDep eta etaCore z20to30 -0.00700352 0.17853
zAndEtaAndEnergyDep eta etaCore z30to45 -0.00470741 0.204273
