E_lo,E_hi,phi_best_label,phi_best_rms,phi_second_label,phi_second_rms,phi_gap,eta_best_label,eta_best_rms,eta_second_label,eta_second_rms,eta_gap
2,4,"Energy-only + incident-angle",0.003569,"Energy + |#eta|-dep b",0.003573,0.000004,"",nan,"",nan,nan
4,6,"2x2 Block-Local With Corr",0.003219,"Energy + |#eta|-dep b",0.003224,0.000005,"",nan,"",nan,nan
6,8,"2x2 Block-Local With Corr",0.003068,"Energy + |#eta|-dep b",0.003068,0.000000,"",nan,"",nan,nan
8,10,"Energy + |#eta|-dep b",0.003171,"Energy + |z_{vtx}|+|#eta|-dep b",0.003171,0.000000,"",nan,"",nan,nan
10,12,"Energy + |#eta|-dep b",0.003333,"Energy + |z_{vtx}|+|#eta|-dep b",0.003333,0.000001,"",nan,"",nan,nan
12,15,"2x2 Block-Local With Corr",0.003483,"Energy + |#eta|-dep b",0.003492,0.000009,"",nan,"",nan,nan
15,20,"2x2 Block-Local With Corr",0.003397,"Energy + |#eta|-dep b",0.003414,0.000018,"",nan,"",nan,nan
20,30,"2x2 Block-Local With Corr",0.002918,"Energy + |#eta|-dep b",0.002924,0.000006,"",nan,"",nan,nan
