E_lo,E_hi,CLUSCP_delta_pct,CLUSCP_delta_pct_err,CLUSCP_EA_delta_pct,CLUSCP_EA_delta_pct_err,CLUSCP_EA_vzDep_delta_pct,CLUSCP_EA_vzDep_delta_pct_err,CLUSCP_EA_etaDep_delta_pct,CLUSCP_EA_etaDep_delta_pct_err,CLUSCP_EA_vzEtaDep_delta_pct,CLUSCP_EA_vzEtaDep_delta_pct_err,CLUSCP_EA_EandIncident_delta_pct,CLUSCP_EA_EandIncident_delta_pct_err
2,4,12.146,0.396,15.386,0.381,15.373,0.381,15.488,0.381,15.466,0.381,15.572,0.380
4,6,19.791,0.353,21.805,0.345,21.803,0.345,21.897,0.344,21.871,0.344,21.854,0.344
6,8,22.538,0.328,24.090,0.321,24.089,0.321,24.180,0.321,24.162,0.321,24.142,0.321
8,10,22.006,0.323,23.158,0.318,23.160,0.318,23.249,0.318,23.240,0.318,23.170,0.318
10,12,20.649,0.327,21.470,0.323,21.469,0.323,21.544,0.323,21.532,0.323,21.469,0.323
12,15,19.016,0.272,19.618,0.270,19.617,0.270,19.686,0.270,19.673,0.270,19.618,0.270
15,20,21.008,0.205,21.264,0.205,21.264,0.205,21.336,0.204,21.322,0.204,21.210,0.205
20,30,26.812,0.134,27.218,0.133,27.218,0.133,27.336,0.133,27.322,0.133,27.186,0.133
